date,Facebook privacy issues
2011-01-01,63
2011-02-01,61
2011-03-01,55
2011-04-01,61
2011-05-01,45
2011-06-01,36
2011-07-01,36
2011-08-01,36
2011-09-01,66
2011-10-01,56
2011-11-01,52
2011-12-01,50
2012-01-01,48
2012-02-01,57
2012-03-01,55
2012-04-01,52
2012-05-01,42
2012-06-01,41
2012-07-01,26
2012-08-01,25
2012-09-01,51
2012-10-01,59
2012-11-01,41
2012-12-01,34
2013-01-01,32
2013-02-01,36
2013-03-01,37
2013-04-01,26
2013-05-01,27
2013-06-01,19
2013-07-01,38
2013-08-01,14
2013-09-01,19
2013-10-01,37
2013-11-01,22
2013-12-01,15
2014-01-01,15
2014-02-01,20
2014-03-01,26
2014-04-01,22
2014-05-01,15
2014-06-01,13
2014-07-01,14
2014-08-01,100
2014-09-01,49
2014-10-01,31
2014-11-01,32
2014-12-01,31
2015-01-01,75
2015-02-01,18
2015-03-01,15
2015-04-01,13
2015-05-01,9
2015-06-01,10
2015-07-01,12
2015-08-01,13
2015-09-01,28
2015-10-01,20
2015-11-01,16
2015-12-01,11
2016-01-01,9
2016-02-01,13
2016-03-01,11
2016-04-01,11
2016-05-01,7
2016-06-01,21
2016-07-01,11
2016-08-01,7
2016-09-01,12
2016-10-01,18
2016-11-01,11
2016-12-01,7
2017-01-01,8
