date,how to view protected tweets
2011-01-01,27
2011-02-01,45
2011-03-01,32
2011-04-01,53
2011-05-01,38
2011-06-01,54
2011-07-01,44
2011-08-01,56
2011-09-01,38
2011-10-01,46
2011-11-01,52
2011-12-01,51
2012-01-01,63
2012-02-01,71
2012-03-01,85
2012-04-01,98
2012-05-01,92
2012-06-01,92
2012-07-01,89
2012-08-01,84
2012-09-01,87
2012-10-01,100
2012-11-01,83
2012-12-01,95
2013-01-01,96
2013-02-01,64
2013-03-01,64
2013-04-01,93
2013-05-01,53
2013-06-01,67
2013-07-01,66
2013-08-01,78
2013-09-01,64
2013-10-01,66
2013-11-01,71
2013-12-01,57
2014-01-01,42
2014-02-01,47
2014-03-01,35
2014-04-01,34
2014-05-01,48
2014-06-01,59
2014-07-01,30
2014-08-01,39
2014-09-01,36
2014-10-01,31
2014-11-01,27
2014-12-01,41
2015-01-01,34
2015-02-01,26
2015-03-01,44
2015-04-01,45
2015-05-01,21
2015-06-01,17
2015-07-01,20
2015-08-01,25
2015-09-01,19
2015-10-01,17
2015-11-01,19
2015-12-01,18
2016-01-01,21
2016-02-01,22
2016-03-01,31
2016-04-01,22
2016-05-01,36
2016-06-01,24
2016-07-01,24
2016-08-01,24
2016-09-01,18
2016-10-01,16
2016-11-01,20
2016-12-01,35
2017-01-01,32
