date,how to view private twitter account
2011-01-01,22
2011-02-01,47
2011-03-01,21
2011-04-01,38
2011-05-01,32
2011-06-01,29
2011-07-01,43
2011-08-01,27
2011-09-01,46
2011-10-01,28
2011-11-01,66
2011-12-01,56
2012-01-01,51
2012-02-01,42
2012-03-01,28
2012-04-01,62
2012-05-01,57
2012-06-01,79
2012-07-01,67
2012-08-01,38
2012-09-01,33
2012-10-01,45
2012-11-01,60
2012-12-01,35
2013-01-01,45
2013-02-01,60
2013-03-01,53
2013-04-01,59
2013-05-01,44
2013-06-01,68
2013-07-01,85
2013-08-01,80
2013-09-01,70
2013-10-01,95
2013-11-01,84
2013-12-01,84
2014-01-01,39
2014-02-01,73
2014-03-01,58
2014-04-01,36
2014-05-01,69
2014-06-01,67
2014-07-01,78
2014-08-01,87
2014-09-01,79
2014-10-01,75
2014-11-01,37
2014-12-01,76
2015-01-01,90
2015-02-01,69
2015-03-01,96
2015-04-01,53
2015-05-01,51
2015-06-01,64
2015-07-01,67
2015-08-01,77
2015-09-01,72
2015-10-01,85
2015-11-01,80
2015-12-01,64
2016-01-01,70
2016-02-01,50
2016-03-01,72
2016-04-01,100
2016-05-01,88
2016-06-01,84
2016-07-01,72
2016-08-01,64
2016-09-01,54
2016-10-01,36
2016-11-01,70
2016-12-01,54
2017-01-01,60
