date,skype sexting safe,skype privacy policy
2011-01-01,0,49
2011-02-01,0,58
2011-03-01,0,35
2011-04-01,0,37
2011-05-01,0,53
2011-06-01,0,54
2011-07-01,0,59
2011-08-01,33,67
2011-09-01,33,77
2011-10-01,31,31
2011-11-01,31,42
2011-12-01,0,31
2012-01-01,0,85
2012-02-01,0,73
2012-03-01,0,46
2012-04-01,0,29
2012-05-01,0,81
2012-06-01,28,56
2012-07-01,27,27
2012-08-01,27,81
2012-09-01,25,27
2012-10-01,25,50
2012-11-01,25,73
2012-12-01,25,25
2013-01-01,22,45
2013-02-01,22,66
2013-03-01,22,78
2013-04-01,22,57
2013-05-01,22,44
2013-06-01,22,23
2013-07-01,20,29
2013-08-01,20,29
2013-09-01,20,64
2013-10-01,20,21
2013-11-01,42,55
2013-12-01,63,84
2014-01-01,29,39
2014-02-01,32,21
2014-03-01,29,38
2014-04-01,20,20
2014-05-01,32,80
2014-06-01,44,77
2014-07-01,54,36
2014-08-01,32,36
2014-09-01,21,34
2014-10-01,20,33
2014-11-01,27,30
2014-12-01,20,33
2015-01-01,55,31
2015-02-01,27,60
2015-03-01,55,37
2015-04-01,28,31
2015-05-01,46,30
2015-06-01,28,62
2015-07-01,27,55
2015-08-01,18,36
2015-09-01,24,65
2015-10-01,25,17
2015-11-01,23,29
2015-12-01,70,35
2016-01-01,50,44
2016-02-01,44,39
2016-03-01,41,23
2016-04-01,37,27
2016-05-01,67,31
2016-06-01,53,40
2016-07-01,40,38
2016-08-01,100,58
2016-09-01,62,63
2016-10-01,30,22
2016-11-01,45,45
2016-12-01,65,45
2017-01-01,66,38
