date,imo call recorder download,skype privacy policy
2011-01-01,0,45
2011-02-01,0,54
2011-03-01,0,32
2011-04-01,0,34
2011-05-01,0,48
2011-06-01,0,50
2011-07-01,0,55
2011-08-01,0,61
2011-09-01,0,70
2011-10-01,0,29
2011-11-01,0,38
2011-12-01,0,28
2012-01-01,0,78
2012-02-01,0,68
2012-03-01,0,42
2012-04-01,0,26
2012-05-01,0,75
2012-06-01,0,51
2012-07-01,0,25
2012-08-01,0,75
2012-09-01,0,25
2012-10-01,0,46
2012-11-01,0,68
2012-12-01,0,23
2013-01-01,0,42
2013-02-01,0,61
2013-03-01,0,71
2013-04-01,0,52
2013-05-01,0,40
2013-06-01,0,21
2013-07-01,0,27
2013-08-01,0,27
2013-09-01,0,59
2013-10-01,0,19
2013-11-01,19,51
2013-12-01,0,78
2014-01-01,0,36
2014-02-01,0,20
2014-03-01,0,35
2014-04-01,0,18
2014-05-01,0,74
2014-06-01,0,71
2014-07-01,0,33
2014-08-01,20,33
2014-09-01,18,32
2014-10-01,18,30
2014-11-01,17,28
2014-12-01,17,30
2015-01-01,17,28
2015-02-01,18,56
2015-03-01,17,34
2015-04-01,23,29
2015-05-01,25,28
2015-06-01,29,57
2015-07-01,34,51
2015-08-01,33,33
2015-09-01,49,60
2015-10-01,23,16
2015-11-01,32,27
2015-12-01,49,32
2016-01-01,51,41
2016-02-01,25,35
2016-03-01,28,21
2016-04-01,59,25
2016-05-01,62,29
2016-06-01,54,37
2016-07-01,55,35
2016-08-01,78,53
2016-09-01,53,58
2016-10-01,46,21
2016-11-01,55,41
2016-12-01,32,41
2017-01-01,100,35
