date,skype security risks,skype privacy policy
2011-01-01,100,30
2011-02-01,47,35
2011-03-01,70,21
2011-04-01,45,23
2011-05-01,92,32
2011-06-01,72,33
2011-07-01,79,36
2011-08-01,50,40
2011-09-01,59,46
2011-10-01,50,19
2011-11-01,56,25
2011-12-01,56,19
2012-01-01,40,51
2012-02-01,53,44
2012-03-01,56,28
2012-04-01,53,17
2012-05-01,60,49
2012-06-01,56,34
2012-07-01,50,17
2012-08-01,44,49
2012-09-01,57,16
2012-10-01,45,30
2012-11-01,20,44
2012-12-01,15,15
2013-01-01,48,27
2013-02-01,30,40
2013-03-01,47,47
2013-04-01,21,34
2013-05-01,13,26
2013-06-01,20,14
2013-07-01,13,18
2013-08-01,18,18
2013-09-01,26,39
2013-10-01,25,12
2013-11-01,21,34
2013-12-01,13,51
2014-01-01,16,23
2014-02-01,13,13
2014-03-01,35,23
2014-04-01,12,12
2014-05-01,13,48
2014-06-01,13,47
2014-07-01,26,22
2014-08-01,26,22
2014-09-01,62,21
2014-10-01,24,20
2014-11-01,31,18
2014-12-01,18,20
2015-01-01,19,19
2015-02-01,24,36
2015-03-01,37,22
2015-04-01,34,19
2015-05-01,22,18
2015-06-01,11,38
2015-07-01,22,33
2015-08-01,26,22
2015-09-01,43,39
2015-10-01,27,10
2015-11-01,35,18
2015-12-01,14,21
2016-01-01,20,27
2016-02-01,10,23
2016-03-01,19,14
2016-04-01,29,16
2016-05-01,19,19
2016-06-01,24,24
2016-07-01,10,23
2016-08-01,29,35
2016-09-01,28,38
2016-10-01,9,14
2016-11-01,9,27
2016-12-01,9,27
2017-01-01,9,23
