date,skype encryption,skype privacy policy
2011-01-01,100,12
2011-02-01,76,13
2011-03-01,72,9
2011-04-01,65,6
2011-05-01,83,11
2011-06-01,60,9
2011-07-01,68,15
2011-08-01,69,8
2011-09-01,68,13
2011-10-01,51,5
2011-11-01,34,10
2011-12-01,42,13
2012-01-01,52,5
2012-02-01,61,10
2012-03-01,51,9
2012-04-01,55,7
2012-05-01,40,9
2012-06-01,58,5
2012-07-01,52,7
2012-08-01,59,22
2012-09-01,34,6
2012-10-01,42,4
2012-11-01,61,5
2012-12-01,39,4
2013-01-01,50,7
2013-02-01,50,9
2013-03-01,61,6
2013-04-01,49,7
2013-05-01,51,7
2013-06-01,80,7
2013-07-01,71,14
2013-08-01,51,13
2013-09-01,49,11
2013-10-01,46,3
2013-11-01,50,7
2013-12-01,48,7
2014-01-01,29,7
2014-02-01,52,5
2014-03-01,39,5
2014-04-01,35,3
2014-05-01,39,4
2014-06-01,29,11
2014-07-01,41,3
2014-08-01,26,5
2014-09-01,35,8
2014-10-01,39,10
2014-11-01,34,8
2014-12-01,35,5
2015-01-01,33,10
2015-02-01,40,10
2015-03-01,39,8
2015-04-01,35,3
2015-05-01,26,6
2015-06-01,32,6
2015-07-01,35,5
2015-08-01,34,8
2015-09-01,32,11
2015-10-01,30,6
2015-11-01,32,5
2015-12-01,36,7
2016-01-01,29,5
2016-02-01,42,5
2016-03-01,55,6
2016-04-01,63,8
2016-05-01,47,8
2016-06-01,40,7
2016-07-01,40,5
2016-08-01,41,6
2016-09-01,52,7
2016-10-01,44,8
2016-11-01,38,7
2016-12-01,34,7
2017-01-01,29,9
