twiitter unfriend,0.73564363143418865
How do I unfriend/unfollow someone on Twitter?,0.71783566855567382
How do I unfollow someone on Twitter?,0.68897259312937054
twitter unfollow,0.80864107036118571
defriend Twitter,0.54899957904213104
how to unfollow someone on twitter,0.81867855239323517
How do I unfollow someone on Twitter,0.86535782303063169
unfollow twiiter,0.84756051211176187
How do I block someone on Twitter?,0.49146772283606127
What are the steps to unfollow someone on Twitter?,0.77731911994750835
twitter stop following,0.55023845629016277
unfriend on Twitter,0.78270255614647077
why do people unfollow people on twitter,0.77968738431277373
What's the best way to unfollow someone on Twitter,0.84870434794342842
how to unfollow on twitter,0.87324185244976726
stop following on twitter,0.76241822209514754
Can a person I unfriend see my tweets?,0.67181882509904034
How does Twitter allow you to unfollow another user?,0.79999613018087645
twitter quit following,0.59648921737372684
how to remove friend on Twitter,0.57862537833138727
who to unfollow on twitter,0.8576855470561956
How can I unfollow a person on Twitter,0.84603718108060244
