date,SnapChat privacy settings
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,16
2012-11-01,0
2012-12-01,0
2013-01-01,23
2013-02-01,17
2013-03-01,0
2013-04-01,25
2013-05-01,15
2013-06-01,30
2013-07-01,30
2013-08-01,74
2013-09-01,38
2013-10-01,36
2013-11-01,28
2013-12-01,61
2014-01-01,57
2014-02-01,47
2014-03-01,30
2014-04-01,26
2014-05-01,49
2014-06-01,30
2014-07-01,36
2014-08-01,34
2014-09-01,83
2014-10-01,48
2014-11-01,49
2014-12-01,57
2015-01-01,45
2015-02-01,54
2015-03-01,45
2015-04-01,54
2015-05-01,65
2015-06-01,37
2015-07-01,25
2015-08-01,53
2015-09-01,40
2015-10-01,79
2015-11-01,100
2015-12-01,79
2016-01-01,44
2016-02-01,88
2016-03-01,100
2016-04-01,100
2016-05-01,90
2016-06-01,65
2016-07-01,83
2016-08-01,67
2016-09-01,73
2016-10-01,50
2016-11-01,84
2016-12-01,87
2017-01-01,79
