date,How do I delete my Twitter account
2011-01-01,18
2011-02-01,12
2011-03-01,15
2011-04-01,12
2011-05-01,18
2011-06-01,26
2011-07-01,26
2011-08-01,18
2011-09-01,21
2011-10-01,22
2011-11-01,28
2011-12-01,39
2012-01-01,41
2012-02-01,37
2012-03-01,39
2012-04-01,42
2012-05-01,39
2012-06-01,45
2012-07-01,50
2012-08-01,44
2012-09-01,44
2012-10-01,36
2012-11-01,44
2012-12-01,54
2013-01-01,63
2013-02-01,46
2013-03-01,56
2013-04-01,56
2013-05-01,68
2013-06-01,44
2013-07-01,59
2013-08-01,78
2013-09-01,72
2013-10-01,57
2013-11-01,40
2013-12-01,43
2014-01-01,60
2014-02-01,100
2014-03-01,93
2014-04-01,38
2014-05-01,44
2014-06-01,69
2014-07-01,84
2014-08-01,77
2014-09-01,59
2014-10-01,63
2014-11-01,70
2014-12-01,66
2015-01-01,85
2015-02-01,61
2015-03-01,49
2015-04-01,53
2015-05-01,86
2015-06-01,78
2015-07-01,48
2015-08-01,61
2015-09-01,77
2015-10-01,74
2015-11-01,44
2015-12-01,31
2016-01-01,60
2016-02-01,55
2016-03-01,52
2016-04-01,40
2016-05-01,35
2016-06-01,59
2016-07-01,72
2016-08-01,57
2016-09-01,36
2016-10-01,33
2016-11-01,57
2016-12-01,48
2017-01-01,51
