date,how to delete Twitter
2011-01-01,17
2011-02-01,19
2011-03-01,22
2011-04-01,24
2011-05-01,27
2011-06-01,33
2011-07-01,38
2011-08-01,37
2011-09-01,32
2011-10-01,38
2011-11-01,44
2011-12-01,50
2012-01-01,51
2012-02-01,53
2012-03-01,53
2012-04-01,62
2012-05-01,60
2012-06-01,69
2012-07-01,85
2012-08-01,80
2012-09-01,71
2012-10-01,69
2012-11-01,73
2012-12-01,85
2013-01-01,89
2013-02-01,80
2013-03-01,78
2013-04-01,74
2013-05-01,69
2013-06-01,74
2013-07-01,85
2013-08-01,85
2013-09-01,74
2013-10-01,69
2013-11-01,69
2013-12-01,76
2014-01-01,85
2014-02-01,82
2014-03-01,83
2014-04-01,78
2014-05-01,76
2014-06-01,77
2014-07-01,84
2014-08-01,87
2014-09-01,79
2014-10-01,74
2014-11-01,78
2014-12-01,83
2015-01-01,91
2015-02-01,85
2015-03-01,83
2015-04-01,88
2015-05-01,84
2015-06-01,91
2015-07-01,100
2015-08-01,98
2015-09-01,85
2015-10-01,77
2015-11-01,80
2015-12-01,83
2016-01-01,88
2016-02-01,78
2016-03-01,78
2016-04-01,76
2016-05-01,77
2016-06-01,88
2016-07-01,95
2016-08-01,89
2016-09-01,81
2016-10-01,78
2016-11-01,79
2016-12-01,79
2017-01-01,93
