date,HOW TO ENCRYPT TEXT MESSAGES
2011-01-01,34
2011-02-01,0
2011-03-01,0
2011-04-01,69
2011-05-01,32
2011-06-01,0
2011-07-01,33
2011-08-01,41
2011-09-01,31
2011-10-01,29
2011-11-01,58
2011-12-01,48
2012-01-01,26
2012-02-01,41
2012-03-01,0
2012-04-01,45
2012-05-01,25
2012-06-01,39
2012-07-01,52
2012-08-01,25
2012-09-01,76
2012-10-01,23
2012-11-01,31
2012-12-01,38
2013-01-01,31
2013-02-01,46
2013-03-01,41
2013-04-01,70
2013-05-01,61
2013-06-01,42
2013-07-01,27
2013-08-01,20
2013-09-01,20
2013-10-01,38
2013-11-01,39
2013-12-01,45
2014-01-01,27
2014-02-01,39
2014-03-01,24
2014-04-01,49
2014-05-01,56
2014-06-01,31
2014-07-01,100
2014-08-01,50
2014-09-01,38
2014-10-01,73
2014-11-01,19
2014-12-01,37
2015-01-01,35
2015-02-01,19
2015-03-01,51
2015-04-01,70
2015-05-01,42
2015-06-01,40
2015-07-01,26
2015-08-01,34
2015-09-01,83
2015-10-01,63
2015-11-01,32
2015-12-01,44
2016-01-01,82
2016-02-01,38
2016-03-01,36
2016-04-01,40
2016-05-01,58
2016-06-01,25
2016-07-01,40
2016-08-01,54
2016-09-01,68
2016-10-01,51
2016-11-01,70
2016-12-01,74
2017-01-01,70
