date,gmail app security,gmail privacy policy
2011-01-01,5,14
2011-02-01,11,11
2011-03-01,21,12
2011-04-01,16,11
2011-05-01,21,5
2011-06-01,21,11
2011-07-01,12,16
2011-08-01,12,15
2011-09-01,18,21
2011-10-01,14,21
2011-11-01,20,21
2011-12-01,20,14
2012-01-01,14,43
2012-02-01,13,100
2012-03-01,12,60
2012-04-01,21,23
2012-05-01,22,11
2012-06-01,21,14
2012-07-01,20,8
2012-08-01,31,19
2012-09-01,17,13
2012-10-01,22,19
2012-11-01,17,18
2012-12-01,33,9
2013-01-01,33,9
2013-02-01,24,21
2013-03-01,33,16
2013-04-01,23,14
2013-05-01,21,15
2013-06-01,23,17
2013-07-01,36,11
2013-08-01,33,33
2013-09-01,32,8
2013-10-01,33,26
2013-11-01,36,20
2013-12-01,45,16
2014-01-01,27,22
2014-02-01,34,17
2014-03-01,36,17
2014-04-01,33,26
2014-05-01,18,26
2014-06-01,26,12
2014-07-01,34,12
2014-08-01,45,18
2014-09-01,52,15
2014-10-01,45,25
2014-11-01,62,16
2014-12-01,46,20
2015-01-01,53,16
2015-02-01,55,14
2015-03-01,40,14
2015-04-01,32,18
2015-05-01,41,15
2015-06-01,49,21
2015-07-01,40,18
2015-08-01,40,20
2015-09-01,65,23
2015-10-01,62,12
2015-11-01,58,14
2015-12-01,63,12
2016-01-01,69,16
2016-02-01,51,15
2016-03-01,54,19
2016-04-01,51,14
2016-05-01,52,17
2016-06-01,52,17
2016-07-01,44,20
2016-08-01,56,20
2016-09-01,58,21
2016-10-01,50,20
2016-11-01,47,21
2016-12-01,82,21
2017-01-01,53,17
