date,uber security,privacy policy uber
2011-01-01,2,0
2011-02-01,5,0
2011-03-01,2,0
2011-04-01,4,0
2011-05-01,3,0
2011-06-01,3,0
2011-07-01,3,0
2011-08-01,2,0
2011-09-01,3,0
2011-10-01,3,0
2011-11-01,4,0
2011-12-01,2,0
2012-01-01,1,0
2012-02-01,3,1
2012-03-01,2,0
2012-04-01,2,0
2012-05-01,2,0
2012-06-01,3,0
2012-07-01,3,0
2012-08-01,2,1
2012-09-01,2,0
2012-10-01,1,0
2012-11-01,2,1
2012-12-01,3,0
2013-01-01,3,0
2013-02-01,3,0
2013-03-01,2,0
2013-04-01,2,1
2013-05-01,1,0
2013-06-01,3,0
2013-07-01,3,0
2013-08-01,3,1
2013-09-01,5,0
2013-10-01,4,0
2013-11-01,4,0
2013-12-01,5,1
2014-01-01,6,2
2014-02-01,11,0
2014-03-01,6,1
2014-04-01,11,1
2014-05-01,11,1
2014-06-01,20,2
2014-07-01,19,1
2014-08-01,19,2
2014-09-01,21,3
2014-10-01,21,2
2014-11-01,26,3
2014-12-01,32,2
2015-01-01,23,3
2015-02-01,32,2
2015-03-01,31,1
2015-04-01,45,2
2015-05-01,39,3
2015-06-01,48,6
2015-07-01,46,4
2015-08-01,57,2
2015-09-01,45,4
2015-10-01,56,3
2015-11-01,56,3
2015-12-01,55,2
2016-01-01,56,3
2016-02-01,65,2
2016-03-01,51,1
2016-04-01,66,4
2016-05-01,65,2
2016-06-01,67,3
2016-07-01,67,2
2016-08-01,74,2
2016-09-01,77,3
2016-10-01,75,5
2016-11-01,76,5
2016-12-01,87,4
2017-01-01,100,3
