date,uber privacy,privacy policy uber
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,5,0
2011-06-01,5,0
2011-07-01,5,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,4,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,4,4
2012-03-01,4,0
2012-04-01,0,0
2012-05-01,4,0
2012-06-01,4,0
2012-07-01,0,0
2012-08-01,4,4
2012-09-01,4,0
2012-10-01,0,0
2012-11-01,5,3
2012-12-01,0,0
2013-01-01,0,0
2013-02-01,3,0
2013-03-01,0,0
2013-04-01,3,3
2013-05-01,3,0
2013-06-01,3,0
2013-07-01,3,0
2013-08-01,4,3
2013-09-01,9,0
2013-10-01,3,0
2013-11-01,3,0
2013-12-01,4,3
2014-01-01,6,5
2014-02-01,8,0
2014-03-01,3,3
2014-04-01,5,3
2014-05-01,11,3
2014-06-01,6,6
2014-07-01,3,3
2014-08-01,5,6
2014-09-01,11,8
2014-10-01,13,5
2014-11-01,100,9
2014-12-01,34,7
2015-01-01,16,7
2015-02-01,30,5
2015-03-01,19,4
2015-04-01,28,7
2015-05-01,32,9
2015-06-01,52,19
2015-07-01,46,13
2015-08-01,21,5
2015-09-01,34,12
2015-10-01,25,7
2015-11-01,21,8
2015-12-01,22,5
2016-01-01,31,10
2016-02-01,26,7
2016-03-01,18,3
2016-04-01,30,12
2016-05-01,27,6
2016-06-01,28,9
2016-07-01,27,6
2016-08-01,26,7
2016-09-01,27,8
2016-10-01,24,14
2016-11-01,42,14
2016-12-01,58,13
2017-01-01,46,10
