date,how to find a proxy,most private browser
2011-01-01,90,11
2011-02-01,68,9
2011-03-01,69,6
2011-04-01,61,0
2011-05-01,71,10
2011-06-01,63,6
2011-07-01,74,0
2011-08-01,83,6
2011-09-01,67,8
2011-10-01,76,7
2011-11-01,67,4
2011-12-01,100,4
2012-01-01,85,7
2012-02-01,76,19
2012-03-01,74,18
2012-04-01,78,7
2012-05-01,55,13
2012-06-01,69,7
2012-07-01,79,6
2012-08-01,62,11
2012-09-01,52,8
2012-10-01,64,6
2012-11-01,65,0
2012-12-01,53,6
2013-01-01,58,5
2013-02-01,61,14
2013-03-01,71,9
2013-04-01,60,10
2013-05-01,64,8
2013-06-01,50,12
2013-07-01,66,10
2013-08-01,60,14
2013-09-01,72,10
2013-10-01,68,9
2013-11-01,65,12
2013-12-01,68,16
2014-01-01,72,11
2014-02-01,84,5
2014-03-01,75,10
2014-04-01,68,9
2014-05-01,74,17
2014-06-01,66,12
2014-07-01,74,21
2014-08-01,69,10
2014-09-01,72,13
2014-10-01,65,18
2014-11-01,77,12
2014-12-01,60,21
2015-01-01,73,12
2015-02-01,73,14
2015-03-01,58,12
2015-04-01,75,15
2015-05-01,68,14
2015-06-01,48,8
2015-07-01,56,14
2015-08-01,74,15
2015-09-01,84,16
2015-10-01,73,17
2015-11-01,44,25
2015-12-01,61,12
2016-01-01,75,14
2016-02-01,59,14
2016-03-01,53,14
2016-04-01,47,15
2016-05-01,40,12
2016-06-01,61,22
2016-07-01,56,18
2016-08-01,67,14
2016-09-01,63,15
2016-10-01,68,16
2016-11-01,54,15
2016-12-01,61,15
2017-01-01,67,19
