date,how to browse the internet anonymously,most private browser
2011-01-01,0,38
2011-02-01,20,40
2011-03-01,18,24
2011-04-01,19,0
2011-05-01,18,45
2011-06-01,19,27
2011-07-01,18,36
2011-08-01,17,23
2011-09-01,22,34
2011-10-01,16,32
2011-11-01,16,16
2011-12-01,16,24
2012-01-01,24,48
2012-02-01,20,70
2012-03-01,29,71
2012-04-01,15,44
2012-05-01,28,49
2012-06-01,29,29
2012-07-01,49,28
2012-08-01,14,47
2012-09-01,32,32
2012-10-01,25,29
2012-11-01,25,0
2012-12-01,26,38
2013-01-01,12,23
2013-02-01,13,63
2013-03-01,17,45
2013-04-01,19,50
2013-05-01,22,34
2013-06-01,19,50
2013-07-01,17,45
2013-08-01,30,49
2013-09-01,22,33
2013-10-01,14,35
2013-11-01,27,49
2013-12-01,11,61
2014-01-01,17,43
2014-02-01,26,26
2014-03-01,26,42
2014-04-01,17,44
2014-05-01,31,61
2014-06-01,34,49
2014-07-01,22,85
2014-08-01,22,63
2014-09-01,11,64
2014-10-01,20,90
2014-11-01,10,58
2014-12-01,15,81
2015-01-01,19,57
2015-02-01,27,55
2015-03-01,9,56
2015-04-01,13,51
2015-05-01,19,56
2015-06-01,9,51
2015-07-01,16,72
2015-08-01,18,68
2015-09-01,23,48
2015-10-01,17,61
2015-11-01,9,100
2015-12-01,9,57
2016-01-01,8,76
2016-02-01,13,59
2016-03-01,16,55
2016-04-01,8,66
2016-05-01,16,58
2016-06-01,0,79
2016-07-01,12,71
2016-08-01,19,62
2016-09-01,13,59
2016-10-01,30,68
2016-11-01,15,67
2016-12-01,8,67
2017-01-01,24,75
