date,anonymous web surfing,most private browser
2011-01-01,100,6
2011-02-01,77,6
2011-03-01,76,4
2011-04-01,73,0
2011-05-01,66,7
2011-06-01,67,4
2011-07-01,74,6
2011-08-01,70,4
2011-09-01,69,5
2011-10-01,62,5
2011-11-01,72,2
2011-12-01,60,4
2012-01-01,60,7
2012-02-01,58,11
2012-03-01,66,11
2012-04-01,62,7
2012-05-01,61,7
2012-06-01,57,4
2012-07-01,62,4
2012-08-01,58,7
2012-09-01,63,5
2012-10-01,56,4
2012-11-01,43,0
2012-12-01,45,6
2013-01-01,37,4
2013-02-01,36,10
2013-03-01,35,7
2013-04-01,34,8
2013-05-01,39,5
2013-06-01,41,8
2013-07-01,33,7
2013-08-01,35,7
2013-09-01,32,5
2013-10-01,27,5
2013-11-01,36,8
2013-12-01,29,9
2014-01-01,28,7
2014-02-01,28,4
2014-03-01,28,6
2014-04-01,32,7
2014-05-01,27,9
2014-06-01,29,7
2014-07-01,32,13
2014-08-01,24,10
2014-09-01,28,10
2014-10-01,25,14
2014-11-01,15,9
2014-12-01,16,12
2015-01-01,19,9
2015-02-01,24,8
2015-03-01,15,9
2015-04-01,15,8
2015-05-01,24,9
2015-06-01,18,8
2015-07-01,13,11
2015-08-01,18,10
2015-09-01,13,7
2015-10-01,20,9
2015-11-01,19,15
2015-12-01,15,9
2016-01-01,18,12
2016-02-01,10,9
2016-03-01,9,8
2016-04-01,8,10
2016-05-01,10,9
2016-06-01,12,12
2016-07-01,15,11
2016-08-01,13,9
2016-09-01,15,9
2016-10-01,11,10
2016-11-01,8,10
2016-12-01,9,10
2017-01-01,10,11
