date,how to delete youtube account on android
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,23
2011-05-01,21
2011-06-01,22
2011-07-01,20
2011-08-01,20
2011-09-01,20
2011-10-01,38
2011-11-01,19
2011-12-01,28
2012-01-01,29
2012-02-01,18
2012-03-01,39
2012-04-01,29
2012-05-01,25
2012-06-01,34
2012-07-01,39
2012-08-01,28
2012-09-01,33
2012-10-01,22
2012-11-01,35
2012-12-01,25
2013-01-01,32
2013-02-01,35
2013-03-01,45
2013-04-01,45
2013-05-01,93
2013-06-01,55
2013-07-01,58
2013-08-01,53
2013-09-01,39
2013-10-01,54
2013-11-01,38
2013-12-01,21
2014-01-01,63
2014-02-01,60
2014-03-01,42
2014-04-01,32
2014-05-01,30
2014-06-01,31
2014-07-01,39
2014-08-01,65
2014-09-01,54
2014-10-01,36
2014-11-01,33
2014-12-01,48
2015-01-01,38
2015-02-01,36
2015-03-01,52
2015-04-01,30
2015-05-01,59
2015-06-01,53
2015-07-01,71
2015-08-01,51
2015-09-01,29
2015-10-01,48
2015-11-01,42
2015-12-01,71
2016-01-01,53
2016-02-01,47
2016-03-01,44
2016-04-01,42
2016-05-01,38
2016-06-01,29
2016-07-01,46
2016-08-01,61
2016-09-01,32
2016-10-01,60
2016-11-01,52
2016-12-01,100
2017-01-01,66
