date,how to delete a youtube account
2011-01-01,33
2011-02-01,30
2011-03-01,36
2011-04-01,42
2011-05-01,40
2011-06-01,50
2011-07-01,60
2011-08-01,58
2011-09-01,62
2011-10-01,42
2011-11-01,55
2011-12-01,65
2012-01-01,64
2012-02-01,56
2012-03-01,55
2012-04-01,71
2012-05-01,68
2012-06-01,67
2012-07-01,76
2012-08-01,92
2012-09-01,59
2012-10-01,57
2012-11-01,63
2012-12-01,66
2013-01-01,83
2013-02-01,66
2013-03-01,67
2013-04-01,69
2013-05-01,69
2013-06-01,77
2013-07-01,84
2013-08-01,100
2013-09-01,71
2013-10-01,58
2013-11-01,56
2013-12-01,70
2014-01-01,77
2014-02-01,64
2014-03-01,68
2014-04-01,55
2014-05-01,53
2014-06-01,57
2014-07-01,73
2014-08-01,72
2014-09-01,53
2014-10-01,52
2014-11-01,54
2014-12-01,60
2015-01-01,60
2015-02-01,48
2015-03-01,50
2015-04-01,48
2015-05-01,48
2015-06-01,55
2015-07-01,57
2015-08-01,56
2015-09-01,46
2015-10-01,41
2015-11-01,42
2015-12-01,48
2016-01-01,52
2016-02-01,46
2016-03-01,41
2016-04-01,43
2016-05-01,42
2016-06-01,48
2016-07-01,56
2016-08-01,48
2016-09-01,36
2016-10-01,42
2016-11-01,33
2016-12-01,45
2017-01-01,39
