date,how to record skype calls on iphone,skype privacy policy
2011-01-01,80,32
2011-02-01,34,51
2011-03-01,30,30
2011-04-01,48,32
2011-05-01,30,46
2011-06-01,38,47
2011-07-01,46,31
2011-08-01,29,58
2011-09-01,57,71
2011-10-01,94,27
2011-11-01,54,41
2011-12-01,76,27
2012-01-01,99,74
2012-02-01,89,77
2012-03-01,72,36
2012-04-01,25,25
2012-05-01,35,31
2012-06-01,72,36
2012-07-01,36,24
2012-08-01,48,23
2012-09-01,93,23
2012-10-01,85,44
2012-11-01,85,64
2012-12-01,54,21
2013-01-01,98,39
2013-02-01,22,43
2013-03-01,76,58
2013-04-01,78,49
2013-05-01,47,38
2013-06-01,78,20
2013-07-01,67,19
2013-08-01,57,19
2013-09-01,18,56
2013-10-01,53,54
2013-11-01,63,54
2013-12-01,91,73
2014-01-01,17,42
2014-02-01,64,18
2014-03-01,74,41
2014-04-01,43,17
2014-05-01,52,70
2014-06-01,29,67
2014-07-01,47,28
2014-08-01,56,38
2014-09-01,45,36
2014-10-01,77,34
2014-11-01,61,26
2014-12-01,43,34
2015-01-01,32,24
2015-02-01,43,26
2015-03-01,32,48
2015-04-01,65,24
2015-05-01,64,24
2015-06-01,65,40
2015-07-01,48,56
2015-08-01,71,32
2015-09-01,46,61
2015-10-01,89,15
2015-11-01,75,23
2015-12-01,84,31
2016-01-01,100,50
2016-02-01,72,22
2016-03-01,100,13
2016-04-01,63,28
2016-05-01,47,27
2016-06-01,49,56
2016-07-01,42,28
2016-08-01,41,48
2016-09-01,34,54
2016-10-01,39,26
2016-11-01,65,19
2016-12-01,78,39
2017-01-01,62,25
