date,can skype video calls be recorded,skype privacy policy
2011-01-01,43,58
2011-02-01,62,68
2011-03-01,81,41
2011-04-01,41,44
2011-05-01,41,62
2011-06-01,42,64
2011-07-01,42,70
2011-08-01,79,78
2011-09-01,77,90
2011-10-01,73,36
2011-11-01,55,49
2011-12-01,36,36
2012-01-01,44,100
2012-02-01,46,86
2012-03-01,65,54
2012-04-01,57,34
2012-05-01,32,95
2012-06-01,44,66
2012-07-01,49,32
2012-08-01,95,95
2012-09-01,95,32
2012-10-01,87,59
2012-11-01,43,86
2012-12-01,29,29
2013-01-01,53,53
2013-02-01,29,78
2013-03-01,91,91
2013-04-01,53,66
2013-05-01,90,51
2013-06-01,79,26
2013-07-01,52,35
2013-08-01,26,34
2013-09-01,25,76
2013-10-01,24,24
2013-11-01,24,65
2013-12-01,73,99
2014-01-01,23,46
2014-02-01,25,25
2014-03-01,37,45
2014-04-01,23,23
2014-05-01,59,94
2014-06-01,26,91
2014-07-01,51,42
2014-08-01,34,42
2014-09-01,61,41
2014-10-01,59,39
2014-11-01,59,36
2014-12-01,35,39
2015-01-01,22,36
2015-02-01,31,71
2015-03-01,43,43
2015-04-01,37,37
2015-05-01,43,36
2015-06-01,66,73
2015-07-01,21,65
2015-08-01,21,43
2015-09-01,42,76
2015-10-01,40,20
2015-11-01,81,34
2015-12-01,31,41
2016-01-01,29,52
2016-02-01,26,45
2016-03-01,27,27
2016-04-01,66,31
2016-05-01,38,36
2016-06-01,38,47
2016-07-01,19,44
2016-08-01,19,68
2016-09-01,49,74
2016-10-01,35,26
2016-11-01,18,53
2016-12-01,41,53
2017-01-01,28,45
