date,record skype calls mac,skype privacy policy
2011-01-01,41,8
2011-02-01,67,11
2011-03-01,65,5
2011-04-01,59,5
2011-05-01,65,5
2011-06-01,45,10
2011-07-01,52,10
2011-08-01,49,9
2011-09-01,68,9
2011-10-01,67,4
2011-11-01,62,6
2011-12-01,68,4
2012-01-01,100,12
2012-02-01,88,8
2012-03-01,55,6
2012-04-01,64,9
2012-05-01,65,11
2012-06-01,71,8
2012-07-01,65,4
2012-08-01,66,11
2012-09-01,66,4
2012-10-01,58,7
2012-11-01,55,10
2012-12-01,62,3
2013-01-01,79,8
2013-02-01,67,12
2013-03-01,75,11
2013-04-01,80,6
2013-05-01,68,6
2013-06-01,70,3
2013-07-01,52,5
2013-08-01,67,5
2013-09-01,54,15
2013-10-01,57,3
2013-11-01,67,6
2013-12-01,55,12
2014-01-01,48,7
2014-02-01,60,3
2014-03-01,69,4
2014-04-01,56,8
2014-05-01,50,11
2014-06-01,64,9
2014-07-01,60,6
2014-08-01,67,6
2014-09-01,40,4
2014-10-01,56,5
2014-11-01,56,6
2014-12-01,38,5
2015-01-01,55,5
2015-02-01,53,11
2015-03-01,43,3
2015-04-01,60,5
2015-05-01,37,5
2015-06-01,35,12
2015-07-01,32,6
2015-08-01,41,6
2015-09-01,47,11
2015-10-01,42,2
2015-11-01,44,4
2015-12-01,38,5
2016-01-01,41,5
2016-02-01,57,7
2016-03-01,42,3
2016-04-01,36,3
2016-05-01,42,6
2016-06-01,27,6
2016-07-01,34,6
2016-08-01,28,8
2016-09-01,36,9
2016-10-01,27,3
2016-11-01,41,7
2016-12-01,27,11
2017-01-01,34,5
