date,secure skype alternative,skype privacy policy
2011-01-01,39,51
2011-02-01,37,61
2011-03-01,37,36
2011-04-01,39,39
2011-05-01,37,55
2011-06-01,32,56
2011-07-01,32,62
2011-08-01,32,70
2011-09-01,32,80
2011-10-01,32,32
2011-11-01,43,43
2011-12-01,30,32
2012-01-01,30,89
2012-02-01,31,77
2012-03-01,29,48
2012-04-01,30,30
2012-05-01,28,85
2012-06-01,33,58
2012-07-01,38,29
2012-08-01,85,85
2012-09-01,28,28
2012-10-01,26,53
2012-11-01,26,77
2012-12-01,26,26
2013-01-01,36,47
2013-02-01,39,69
2013-03-01,35,81
2013-04-01,32,59
2013-05-01,68,46
2013-06-01,86,24
2013-07-01,100,31
2013-08-01,38,31
2013-09-01,30,67
2013-10-01,21,21
2013-11-01,43,58
2013-12-01,37,88
2014-01-01,68,41
2014-02-01,96,22
2014-03-01,53,40
2014-04-01,55,21
2014-05-01,31,84
2014-06-01,58,81
2014-07-01,53,38
2014-08-01,75,38
2014-09-01,54,36
2014-10-01,62,34
2014-11-01,49,32
2014-12-01,21,34
2015-01-01,58,32
2015-02-01,32,63
2015-03-01,19,38
2015-04-01,26,33
2015-05-01,29,32
2015-06-01,32,65
2015-07-01,48,58
2015-08-01,38,38
2015-09-01,28,68
2015-10-01,35,18
2015-11-01,18,30
2015-12-01,37,37
2016-01-01,26,46
2016-02-01,17,40
2016-03-01,32,24
2016-04-01,67,28
2016-05-01,41,32
2016-06-01,33,42
2016-07-01,34,39
2016-08-01,33,61
2016-09-01,49,66
2016-10-01,15,23
2016-11-01,37,47
2016-12-01,55,47
2017-01-01,45,40
