date,viber end to end encryption,skype privacy policy
2011-01-01,0,37
2011-02-01,0,44
2011-03-01,0,26
2011-04-01,0,28
2011-05-01,0,39
2011-06-01,0,40
2011-07-01,0,45
2011-08-01,0,50
2011-09-01,0,57
2011-10-01,0,23
2011-11-01,0,31
2011-12-01,0,23
2012-01-01,0,64
2012-02-01,0,55
2012-03-01,0,35
2012-04-01,0,21
2012-05-01,0,61
2012-06-01,0,42
2012-07-01,0,21
2012-08-01,0,61
2012-09-01,0,20
2012-10-01,0,38
2012-11-01,0,55
2012-12-01,0,19
2013-01-01,0,34
2013-02-01,0,50
2013-03-01,0,58
2013-04-01,0,42
2013-05-01,0,33
2013-06-01,0,17
2013-07-01,0,22
2013-08-01,0,22
2013-09-01,0,48
2013-10-01,0,15
2013-11-01,0,41
2013-12-01,0,63
2014-01-01,0,29
2014-02-01,0,16
2014-03-01,0,29
2014-04-01,0,15
2014-05-01,0,60
2014-06-01,0,58
2014-07-01,0,27
2014-08-01,16,27
2014-09-01,15,26
2014-10-01,15,25
2014-11-01,15,23
2014-12-01,15,25
2015-01-01,19,23
2015-02-01,23,45
2015-03-01,27,27
2015-04-01,20,23
2015-05-01,20,23
2015-06-01,20,46
2015-07-01,20,41
2015-08-01,20,27
2015-09-01,13,49
2015-10-01,13,13
2015-11-01,13,22
2015-12-01,26,26
2016-01-01,12,33
2016-02-01,12,29
2016-03-01,11,17
2016-04-01,100,20
2016-05-01,54,23
2016-06-01,36,30
2016-07-01,40,28
2016-08-01,20,43
2016-09-01,20,47
2016-10-01,26,17
2016-11-01,22,34
2016-12-01,22,34
2017-01-01,14,28
