date,how to record skype calls on android,skype privacy policy
2011-01-01,0,34
2011-02-01,0,41
2011-03-01,24,24
2011-04-01,24,26
2011-05-01,24,37
2011-06-01,25,38
2011-07-01,25,42
2011-08-01,22,47
2011-09-01,22,54
2011-10-01,22,22
2011-11-01,22,29
2011-12-01,22,22
2012-01-01,26,59
2012-02-01,31,51
2012-03-01,19,32
2012-04-01,41,20
2012-05-01,19,57
2012-06-01,39,39
2012-07-01,32,19
2012-08-01,28,57
2012-09-01,19,19
2012-10-01,17,35
2012-11-01,17,51
2012-12-01,17,17
2013-01-01,24,32
2013-02-01,26,46
2013-03-01,26,54
2013-04-01,32,40
2013-05-01,15,31
2013-06-01,31,16
2013-07-01,23,21
2013-08-01,15,21
2013-09-01,22,45
2013-10-01,71,14
2013-11-01,19,39
2013-12-01,29,59
2014-01-01,54,27
2014-02-01,49,15
2014-03-01,75,27
2014-04-01,18,14
2014-05-01,42,56
2014-06-01,67,54
2014-07-01,40,25
2014-08-01,65,25
2014-09-01,77,24
2014-10-01,59,23
2014-11-01,66,21
2014-12-01,41,23
2015-01-01,34,22
2015-02-01,42,42
2015-03-01,55,26
2015-04-01,83,22
2015-05-01,68,21
2015-06-01,39,43
2015-07-01,47,39
2015-08-01,42,25
2015-09-01,45,45
2015-10-01,59,12
2015-11-01,32,20
2015-12-01,37,25
2016-01-01,46,31
2016-02-01,54,27
2016-03-01,21,16
2016-04-01,45,19
2016-05-01,51,22
2016-06-01,52,28
2016-07-01,45,26
2016-08-01,77,41
2016-09-01,76,44
2016-10-01,100,16
2016-11-01,90,31
2016-12-01,83,32
2017-01-01,72,26
