date,secure video calls,skype privacy policy
2011-01-01,35,47
2011-02-01,33,56
2011-03-01,33,33
2011-04-01,59,36
2011-05-01,67,50
2011-06-01,34,52
2011-07-01,51,57
2011-08-01,96,64
2011-09-01,62,73
2011-10-01,30,30
2011-11-01,59,40
2011-12-01,29,29
2012-01-01,54,81
2012-02-01,56,70
2012-03-01,70,44
2012-04-01,46,27
2012-05-01,26,77
2012-06-01,62,53
2012-07-01,70,26
2012-08-01,35,77
2012-09-01,60,26
2012-10-01,47,48
2012-11-01,47,70
2012-12-01,39,24
2013-01-01,65,43
2013-02-01,48,64
2013-03-01,35,74
2013-04-01,72,54
2013-05-01,35,42
2013-06-01,57,22
2013-07-01,53,28
2013-08-01,56,28
2013-09-01,41,61
2013-10-01,52,20
2013-11-01,40,53
2013-12-01,33,81
2014-01-01,28,37
2014-02-01,41,20
2014-03-01,37,37
2014-04-01,31,19
2014-05-01,95,76
2014-06-01,32,74
2014-07-01,21,34
2014-08-01,83,34
2014-09-01,46,33
2014-10-01,47,31
2014-11-01,32,29
2014-12-01,56,32
2015-01-01,29,30
2015-02-01,38,58
2015-03-01,58,35
2015-04-01,71,30
2015-05-01,52,29
2015-06-01,53,59
2015-07-01,35,53
2015-08-01,46,35
2015-09-01,51,62
2015-10-01,49,16
2015-11-01,44,28
2015-12-01,34,34
2016-01-01,68,42
2016-02-01,42,37
2016-03-01,34,22
2016-04-01,31,26
2016-05-01,49,30
2016-06-01,46,38
2016-07-01,67,36
2016-08-01,50,55
2016-09-01,60,60
2016-10-01,66,21
2016-11-01,100,43
2016-12-01,67,43
2017-01-01,59,36
