date,evaer skype video recorder,skype privacy policy
2011-01-01,11,8
2011-02-01,15,12
2011-03-01,13,5
2011-04-01,28,6
2011-05-01,18,5
2011-06-01,38,11
2011-07-01,30,11
2011-08-01,41,10
2011-09-01,47,10
2011-10-01,82,5
2011-11-01,45,7
2011-12-01,53,5
2012-01-01,62,13
2012-02-01,71,9
2012-03-01,77,6
2012-04-01,66,9
2012-05-01,80,12
2012-06-01,59,8
2012-07-01,96,4
2012-08-01,84,12
2012-09-01,100,4
2012-10-01,82,8
2012-11-01,67,11
2012-12-01,79,4
2013-01-01,79,9
2013-02-01,77,13
2013-03-01,70,12
2013-04-01,63,7
2013-05-01,69,7
2013-06-01,80,3
2013-07-01,77,5
2013-08-01,78,5
2013-09-01,59,16
2013-10-01,60,3
2013-11-01,86,6
2013-12-01,71,13
2014-01-01,79,7
2014-02-01,50,3
2014-03-01,74,4
2014-04-01,61,8
2014-05-01,50,12
2014-06-01,60,10
2014-07-01,82,7
2014-08-01,74,7
2014-09-01,36,5
2014-10-01,45,6
2014-11-01,63,6
2014-12-01,98,6
2015-01-01,67,6
2015-02-01,59,12
2015-03-01,87,3
2015-04-01,66,6
2015-05-01,50,6
2015-06-01,41,13
2015-07-01,50,7
2015-08-01,29,7
2015-09-01,45,12
2015-10-01,43,3
2015-11-01,46,4
2015-12-01,44,5
2016-01-01,40,5
2016-02-01,17,7
2016-03-01,35,3
2016-04-01,37,4
2016-05-01,30,7
2016-06-01,23,6
2016-07-01,18,6
2016-08-01,33,8
2016-09-01,28,10
2016-10-01,20,3
2016-11-01,29,8
2016-12-01,15,11
2017-01-01,17,5
