date,skype hack,skype privacy policy
2011-01-01,85,0
2011-02-01,86,1
2011-03-01,81,0
2011-04-01,79,0
2011-05-01,78,0
2011-06-01,80,0
2011-07-01,89,1
2011-08-01,93,1
2011-09-01,95,1
2011-10-01,83,0
2011-11-01,90,0
2011-12-01,97,0
2012-01-01,93,1
2012-02-01,100,1
2012-03-01,88,0
2012-04-01,79,0
2012-05-01,80,1
2012-06-01,85,1
2012-07-01,82,0
2012-08-01,85,1
2012-09-01,78,0
2012-10-01,78,0
2012-11-01,81,1
2012-12-01,76,0
2013-01-01,77,0
2013-02-01,77,1
2013-03-01,84,1
2013-04-01,82,1
2013-05-01,86,0
2013-06-01,83,0
2013-07-01,86,0
2013-08-01,87,0
2013-09-01,79,1
2013-10-01,74,0
2013-11-01,74,0
2013-12-01,78,1
2014-01-01,80,0
2014-02-01,72,0
2014-03-01,70,0
2014-04-01,66,0
2014-05-01,60,1
2014-06-01,62,1
2014-07-01,64,0
2014-08-01,61,0
2014-09-01,57,0
2014-10-01,53,0
2014-11-01,57,0
2014-12-01,55,0
2015-01-01,52,0
2015-02-01,55,1
2015-03-01,49,0
2015-04-01,46,0
2015-05-01,44,0
2015-06-01,50,1
2015-07-01,51,0
2015-08-01,51,0
2015-09-01,44,1
2015-10-01,38,0
2015-11-01,36,0
2015-12-01,38,0
2016-01-01,40,0
2016-02-01,35,0
2016-03-01,32,0
2016-04-01,32,0
2016-05-01,31,0
2016-06-01,31,0
2016-07-01,32,0
2016-08-01,28,1
2016-09-01,25,1
2016-10-01,27,0
2016-11-01,32,0
2016-12-01,24,0
2017-01-01,23,0
