date,How to delete a app,delete account instagram
2011-01-01,5,0
2011-02-01,5,0
2011-03-01,4,0
2011-04-01,5,0
2011-05-01,5,0
2011-06-01,6,0
2011-07-01,7,1
2011-08-01,6,1
2011-09-01,4,1
2011-10-01,5,1
2011-11-01,5,1
2011-12-01,7,2
2012-01-01,7,3
2012-02-01,6,3
2012-03-01,6,4
2012-04-01,6,13
2012-05-01,6,11
2012-06-01,7,13
2012-07-01,7,15
2012-08-01,9,14
2012-09-01,7,14
2012-10-01,8,15
2012-11-01,8,15
2012-12-01,10,30
2013-01-01,10,33
2013-02-01,9,34
2013-03-01,8,21
2013-04-01,8,20
2013-05-01,8,24
2013-06-01,8,35
2013-07-01,9,25
2013-08-01,9,25
2013-09-01,9,23
2013-10-01,9,24
2013-11-01,8,20
2013-12-01,11,20
2014-01-01,10,27
2014-02-01,9,34
2014-03-01,9,29
2014-04-01,9,26
2014-05-01,9,25
2014-06-01,10,39
2014-07-01,10,41
2014-08-01,10,32
2014-09-01,10,24
2014-10-01,9,25
2014-11-01,9,34
2014-12-01,10,40
2015-01-01,10,40
2015-02-01,10,34
2015-03-01,9,33
2015-04-01,9,37
2015-05-01,10,39
2015-06-01,10,42
2015-07-01,10,53
2015-08-01,11,60
2015-09-01,10,58
2015-10-01,10,52
2015-11-01,9,49
2015-12-01,11,54
2016-01-01,11,64
2016-02-01,10,74
2016-03-01,10,63
2016-04-01,10,58
2016-05-01,9,64
2016-06-01,10,90
2016-07-01,11,96
2016-08-01,11,71
2016-09-01,12,69
2016-10-01,12,84
2016-11-01,11,100
2016-12-01,12,89
2017-01-01,13,91
