date,how to delete instagram,delete account instagram
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,1,1
2011-08-01,1,1
2011-09-01,1,1
2011-10-01,1,1
2011-11-01,2,1
2011-12-01,3,2
2012-01-01,4,3
2012-02-01,5,3
2012-03-01,7,4
2012-04-01,19,11
2012-05-01,19,9
2012-06-01,27,11
2012-07-01,33,13
2012-08-01,37,12
2012-09-01,35,12
2012-10-01,37,13
2012-11-01,42,13
2012-12-01,66,25
2013-01-01,60,29
2013-02-01,60,30
2013-03-01,57,18
2013-04-01,55,19
2013-05-01,52,21
2013-06-01,58,31
2013-07-01,62,21
2013-08-01,60,21
2013-09-01,50,20
2013-10-01,45,21
2013-11-01,47,17
2013-12-01,58,18
2014-01-01,61,23
2014-02-01,53,28
2014-03-01,59,25
2014-04-01,60,22
2014-05-01,55,22
2014-06-01,58,34
2014-07-01,62,35
2014-08-01,61,28
2014-09-01,54,21
2014-10-01,52,22
2014-11-01,53,29
2014-12-01,60,34
2015-01-01,65,34
2015-02-01,56,29
2015-03-01,56,30
2015-04-01,57,31
2015-05-01,55,34
2015-06-01,60,38
2015-07-01,75,45
2015-08-01,73,52
2015-09-01,65,50
2015-10-01,62,44
2015-11-01,63,43
2015-12-01,69,47
2016-01-01,74,56
2016-02-01,70,64
2016-03-01,73,55
2016-04-01,72,51
2016-05-01,72,56
2016-06-01,80,79
2016-07-01,85,83
2016-08-01,83,63
2016-09-01,74,61
2016-10-01,79,74
2016-11-01,88,85
2016-12-01,92,77
2017-01-01,100,78
