date,how to browse anonymously,most private browser
2011-01-01,41,20
2011-02-01,34,17
2011-03-01,23,12
2011-04-01,33,0
2011-05-01,23,19
2011-06-01,55,12
2011-07-01,47,0
2011-08-01,56,11
2011-09-01,54,14
2011-10-01,48,14
2011-11-01,38,7
2011-12-01,37,7
2012-01-01,56,12
2012-02-01,61,35
2012-03-01,55,33
2012-04-01,38,13
2012-05-01,51,24
2012-06-01,53,12
2012-07-01,67,12
2012-08-01,48,21
2012-09-01,66,15
2012-10-01,49,11
2012-11-01,71,0
2012-12-01,55,11
2013-01-01,64,10
2013-02-01,55,27
2013-03-01,49,17
2013-04-01,54,20
2013-05-01,63,15
2013-06-01,59,22
2013-07-01,39,19
2013-08-01,60,27
2013-09-01,50,19
2013-10-01,49,18
2013-11-01,32,23
2013-12-01,67,30
2014-01-01,64,21
2014-02-01,75,9
2014-03-01,57,19
2014-04-01,82,17
2014-05-01,50,33
2014-06-01,75,22
2014-07-01,100,40
2014-08-01,60,19
2014-09-01,55,25
2014-10-01,71,35
2014-11-01,60,22
2014-12-01,70,39
2015-01-01,71,22
2015-02-01,60,27
2015-03-01,58,22
2015-04-01,81,29
2015-05-01,50,26
2015-06-01,37,14
2015-07-01,63,26
2015-08-01,98,28
2015-09-01,77,29
2015-10-01,69,32
2015-11-01,55,48
2015-12-01,47,23
2016-01-01,46,27
2016-02-01,67,27
2016-03-01,59,27
2016-04-01,37,28
2016-05-01,34,22
2016-06-01,51,42
2016-07-01,67,34
2016-08-01,45,26
2016-09-01,47,28
2016-10-01,44,31
2016-11-01,53,28
2016-12-01,65,28
2017-01-01,53,36
