date,How to uninstall Facebook app
2011-01-01,27
2011-02-01,33
2011-03-01,31
2011-04-01,27
2011-05-01,18
2011-06-01,29
2011-07-01,22
2011-08-01,30
2011-09-01,22
2011-10-01,25
2011-11-01,23
2011-12-01,37
2012-01-01,23
2012-02-01,26
2012-03-01,19
2012-04-01,20
2012-05-01,22
2012-06-01,26
2012-07-01,30
2012-08-01,34
2012-09-01,16
2012-10-01,22
2012-11-01,38
2012-12-01,34
2013-01-01,39
2013-02-01,25
2013-03-01,24
2013-04-01,25
2013-05-01,30
2013-06-01,32
2013-07-01,23
2013-08-01,15
2013-09-01,38
2013-10-01,25
2013-11-01,23
2013-12-01,31
2014-01-01,32
2014-02-01,46
2014-03-01,27
2014-04-01,29
2014-05-01,31
2014-06-01,31
2014-07-01,26
2014-08-01,100
2014-09-01,55
2014-10-01,42
2014-11-01,33
2014-12-01,37
2015-01-01,39
2015-02-01,27
2015-03-01,30
2015-04-01,22
2015-05-01,24
2015-06-01,27
2015-07-01,21
2015-08-01,30
2015-09-01,29
2015-10-01,24
2015-11-01,26
2015-12-01,32
2016-01-01,30
2016-02-01,32
2016-03-01,30
2016-04-01,32
2016-05-01,28
2016-06-01,32
2016-07-01,34
2016-08-01,38
2016-09-01,32
2016-10-01,28
2016-11-01,35
2016-12-01,37
2017-01-01,39
