date,how to protect against phishing,Row Total
1/1/11,51,51
2/1/11,36,36
3/1/11,32,32
4/1/11,52,52
5/1/11,32,32
6/1/11,33,33
7/1/11,33,33
8/1/11,47,47
9/1/11,60,60
10/1/11,43,43
11/1/11,29,29
12/1/11,28,28
1/1/12,26,26
2/1/12,54,54
3/1/12,51,51
4/1/12,27,27
5/1/12,100,100
6/1/12,26,26
7/1/12,25,25
8/1/12,25,25
9/1/12,50,50
10/1/12,57,57
11/1/12,23,23
12/1/12,69,69
1/1/13,21,21
2/1/13,34,34
3/1/13,51,51
4/1/13,31,31
5/1/13,40,40
6/1/13,52,52
7/1/13,20,20
8/1/13,35,35
9/1/13,50,50
10/1/13,38,38
11/1/13,19,19
12/1/13,67,67
1/1/14,72,72
2/1/14,49,49
3/1/14,79,79
4/1/14,45,45
5/1/14,37,37
6/1/14,20,20
7/1/14,20,20
8/1/14,20,20
9/1/14,29,29
10/1/14,63,63
11/1/14,37,37
12/1/14,36,36
1/1/15,60,60
2/1/15,46,46
3/1/15,25,25
4/1/15,26,26
5/1/15,25,25
6/1/15,60,60
7/1/15,34,34
8/1/15,25,25
9/1/15,41,41
10/1/15,55,55
11/1/15,80,80
12/1/15,16,16
1/1/16,23,23
2/1/16,84,84
3/1/16,14,14
4/1/16,29,29
5/1/16,36,36
6/1/16,30,30
7/1/16,45,45
8/1/16,58,58
9/1/16,43,43
10/1/16,48,48
11/1/16,76,76
12/1/16,28,28
1/1/17,26,26
