date,delete my twitter,how to delete twitter
2011-01-01,4,19
2011-02-01,4,19
2011-03-01,5,22
2011-04-01,5,23
2011-05-01,6,27
2011-06-01,7,31
2011-07-01,8,37
2011-08-01,9,36
2011-09-01,7,32
2011-10-01,7,39
2011-11-01,9,43
2011-12-01,10,48
2012-01-01,11,53
2012-02-01,11,50
2012-03-01,12,50
2012-04-01,12,60
2012-05-01,14,58
2012-06-01,15,70
2012-07-01,19,81
2012-08-01,18,79
2012-09-01,16,69
2012-10-01,17,68
2012-11-01,17,73
2012-12-01,19,83
2013-01-01,18,86
2013-02-01,18,76
2013-03-01,18,80
2013-04-01,18,75
2013-05-01,15,68
2013-06-01,18,74
2013-07-01,18,85
2013-08-01,20,83
2013-09-01,18,73
2013-10-01,16,66
2013-11-01,16,67
2013-12-01,19,76
2014-01-01,19,83
2014-02-01,19,80
2014-03-01,19,82
2014-04-01,17,77
2014-05-01,18,72
2014-06-01,18,76
2014-07-01,18,83
2014-08-01,21,85
2014-09-01,18,74
2014-10-01,15,74
2014-11-01,17,78
2014-12-01,17,82
2015-01-01,20,88
2015-02-01,17,83
2015-03-01,16,82
2015-04-01,17,86
2015-05-01,18,84
2015-06-01,18,88
2015-07-01,20,100
2015-08-01,17,97
2015-09-01,17,85
2015-10-01,16,75
2015-11-01,16,77
2015-12-01,16,83
2016-01-01,18,87
2016-02-01,14,78
2016-03-01,15,77
2016-04-01,16,74
2016-05-01,16,78
2016-06-01,17,89
2016-07-01,18,94
2016-08-01,17,85
2016-09-01,16,78
2016-10-01,15,76
2016-11-01,15,79
2016-12-01,15,78
2017-01-01,19,91
