date,how to delete my twitter account,how to delete twitter
2011-01-01,1,20
2011-02-01,1,18
2011-03-01,1,22
2011-04-01,1,24
2011-05-01,1,28
2011-06-01,1,31
2011-07-01,1,38
2011-08-01,2,35
2011-09-01,1,34
2011-10-01,1,41
2011-11-01,2,44
2011-12-01,1,48
2012-01-01,2,54
2012-02-01,2,51
2012-03-01,2,50
2012-04-01,2,59
2012-05-01,2,59
2012-06-01,3,71
2012-07-01,4,84
2012-08-01,4,79
2012-09-01,3,70
2012-10-01,3,67
2012-11-01,3,73
2012-12-01,3,83
2013-01-01,3,88
2013-02-01,3,79
2013-03-01,3,82
2013-04-01,3,76
2013-05-01,3,69
2013-06-01,4,75
2013-07-01,4,86
2013-08-01,4,82
2013-09-01,3,73
2013-10-01,3,67
2013-11-01,3,69
2013-12-01,4,78
2014-01-01,4,85
2014-02-01,4,81
2014-03-01,4,82
2014-04-01,3,77
2014-05-01,4,73
2014-06-01,4,77
2014-07-01,4,85
2014-08-01,4,85
2014-09-01,4,75
2014-10-01,4,75
2014-11-01,4,79
2014-12-01,4,83
2015-01-01,5,87
2015-02-01,4,84
2015-03-01,3,84
2015-04-01,4,88
2015-05-01,5,86
2015-06-01,5,89
2015-07-01,5,100
2015-08-01,5,98
2015-09-01,4,87
2015-10-01,4,74
2015-11-01,4,77
2015-12-01,4,84
2016-01-01,4,88
2016-02-01,4,78
2016-03-01,4,78
2016-04-01,5,74
2016-05-01,4,80
2016-06-01,5,91
2016-07-01,6,94
2016-08-01,5,85
2016-09-01,4,80
2016-10-01,5,76
2016-11-01,5,80
2016-12-01,5,79
2017-01-01,5,93
