date,Remove twitter,how to delete twitter
2011-01-01,20,19
2011-02-01,20,19
2011-03-01,25,22
2011-04-01,24,23
2011-05-01,25,27
2011-06-01,27,31
2011-07-01,26,37
2011-08-01,28,36
2011-09-01,25,32
2011-10-01,27,39
2011-11-01,28,43
2011-12-01,35,48
2012-01-01,34,53
2012-02-01,35,50
2012-03-01,31,50
2012-04-01,34,60
2012-05-01,33,58
2012-06-01,34,70
2012-07-01,35,81
2012-08-01,37,79
2012-09-01,36,69
2012-10-01,33,68
2012-11-01,32,73
2012-12-01,33,83
2013-01-01,32,86
2013-02-01,34,76
2013-03-01,33,80
2013-04-01,32,75
2013-05-01,31,68
2013-06-01,34,74
2013-07-01,34,85
2013-08-01,35,83
2013-09-01,31,73
2013-10-01,29,66
2013-11-01,28,67
2013-12-01,29,76
2014-01-01,32,83
2014-02-01,30,80
2014-03-01,31,82
2014-04-01,31,77
2014-05-01,30,72
2014-06-01,29,76
2014-07-01,31,83
2014-08-01,32,85
2014-09-01,31,74
2014-10-01,29,74
2014-11-01,28,78
2014-12-01,26,82
2015-01-01,30,88
2015-02-01,29,83
2015-03-01,30,82
2015-04-01,29,86
2015-05-01,29,84
2015-06-01,29,88
2015-07-01,30,100
2015-08-01,29,97
2015-09-01,29,85
2015-10-01,27,75
2015-11-01,26,77
2015-12-01,28,83
2016-01-01,29,87
2016-02-01,28,78
2016-03-01,26,77
2016-04-01,27,74
2016-05-01,27,78
2016-06-01,30,89
2016-07-01,31,94
2016-08-01,28,85
2016-09-01,26,78
2016-10-01,26,76
2016-11-01,28,79
2016-12-01,26,78
2017-01-01,29,91
