date,how to delete twitter account,how to delete twitter
2011-01-01,7,19
2011-02-01,8,19
2011-03-01,8,22
2011-04-01,8,23
2011-05-01,11,27
2011-06-01,10,31
2011-07-01,14,37
2011-08-01,11,36
2011-09-01,11,32
2011-10-01,14,39
2011-11-01,17,43
2011-12-01,17,48
2012-01-01,21,53
2012-02-01,18,50
2012-03-01,16,50
2012-04-01,21,60
2012-05-01,21,58
2012-06-01,24,70
2012-07-01,24,81
2012-08-01,29,79
2012-09-01,28,69
2012-10-01,24,68
2012-11-01,25,73
2012-12-01,27,83
2013-01-01,34,86
2013-02-01,36,76
2013-03-01,27,80
2013-04-01,25,75
2013-05-01,33,68
2013-06-01,36,74
2013-07-01,32,85
2013-08-01,31,83
2013-09-01,37,73
2013-10-01,34,66
2013-11-01,24,67
2013-12-01,28,76
2014-01-01,40,83
2014-02-01,49,80
2014-03-01,36,82
2014-04-01,31,77
2014-05-01,32,72
2014-06-01,46,76
2014-07-01,50,83
2014-08-01,43,85
2014-09-01,40,74
2014-10-01,39,74
2014-11-01,39,78
2014-12-01,43,82
2015-01-01,47,88
2015-02-01,42,83
2015-03-01,42,82
2015-04-01,43,86
2015-05-01,42,84
2015-06-01,50,88
2015-07-01,49,100
2015-08-01,47,97
2015-09-01,44,85
2015-10-01,43,75
2015-11-01,41,77
2015-12-01,41,83
2016-01-01,43,87
2016-02-01,40,78
2016-03-01,41,77
2016-04-01,38,74
2016-05-01,37,78
2016-06-01,45,89
2016-07-01,52,94
2016-08-01,50,85
2016-09-01,41,78
2016-10-01,39,76
2016-11-01,44,79
2016-12-01,52,78
2017-01-01,51,91
