date,i want to delete my facebook account now
2011-01-01,25
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,45
2011-09-01,42
2011-10-01,42
2011-11-01,21
2011-12-01,21
2012-01-01,38
2012-02-01,100
2012-03-01,19
2012-04-01,20
2012-05-01,18
2012-06-01,19
2012-07-01,18
2012-08-01,18
2012-09-01,37
2012-10-01,33
2012-11-01,42
2012-12-01,17
2013-01-01,23
2013-02-01,84
2013-03-01,37
2013-04-01,41
2013-05-01,44
2013-06-01,15
2013-07-01,22
2013-08-01,30
2013-09-01,29
2013-10-01,55
2013-11-01,28
2013-12-01,21
2014-01-01,20
2014-02-01,29
2014-03-01,26
2014-04-01,20
2014-05-01,13
2014-06-01,23
2014-07-01,22
2014-08-01,15
2014-09-01,49
2014-10-01,60
2014-11-01,27
2014-12-01,40
2015-01-01,69
2015-02-01,75
2015-03-01,25
2015-04-01,26
2015-05-01,31
2015-06-01,63
2015-07-01,37
2015-08-01,25
2015-09-01,42
2015-10-01,34
2015-11-01,18
2015-12-01,30
2016-01-01,39
2016-02-01,17
2016-03-01,37
2016-04-01,49
2016-05-01,26
2016-06-01,22
2016-07-01,55
2016-08-01,21
2016-09-01,32
2016-10-01,45
2016-11-01,46
2016-12-01,30
2017-01-01,57
