date,how to deactivate facebook account permanently
2011-01-01,14
2011-02-01,24
2011-03-01,18
2011-04-01,27
2011-05-01,29
2011-06-01,37
2011-07-01,37
2011-08-01,80
2011-09-01,51
2011-10-01,35
2011-11-01,29
2011-12-01,51
2012-01-01,57
2012-02-01,49
2012-03-01,54
2012-04-01,66
2012-05-01,55
2012-06-01,57
2012-07-01,62
2012-08-01,98
2012-09-01,71
2012-10-01,54
2012-11-01,64
2012-12-01,63
2013-01-01,61
2013-02-01,50
2013-03-01,71
2013-04-01,63
2013-05-01,100
2013-06-01,78
2013-07-01,66
2013-08-01,70
2013-09-01,82
2013-10-01,61
2013-11-01,52
2013-12-01,64
2014-01-01,81
2014-02-01,70
2014-03-01,72
2014-04-01,45
2014-05-01,54
2014-06-01,88
2014-07-01,62
2014-08-01,64
2014-09-01,50
2014-10-01,63
2014-11-01,59
2014-12-01,51
2015-01-01,64
2015-02-01,56
2015-03-01,72
2015-04-01,71
2015-05-01,75
2015-06-01,53
2015-07-01,48
2015-08-01,51
2015-09-01,59
2015-10-01,50
2015-11-01,42
2015-12-01,35
2016-01-01,41
2016-02-01,50
2016-03-01,44
2016-04-01,40
2016-05-01,36
2016-06-01,46
2016-07-01,67
2016-08-01,56
2016-09-01,58
2016-10-01,60
2016-11-01,76
2016-12-01,70
2017-01-01,76
