date,how do i deactivate my facebook account
2011-01-01,33
2011-02-01,14
2011-03-01,20
2011-04-01,27
2011-05-01,23
2011-06-01,22
2011-07-01,33
2011-08-01,100
2011-09-01,82
2011-10-01,63
2011-11-01,63
2011-12-01,62
2012-01-01,73
2012-02-01,66
2012-03-01,65
2012-04-01,73
2012-05-01,65
2012-06-01,82
2012-07-01,60
2012-08-01,33
2012-09-01,38
2012-10-01,67
2012-11-01,51
2012-12-01,28
2013-01-01,36
2013-02-01,71
2013-03-01,53
2013-04-01,23
2013-05-01,22
2013-06-01,43
2013-07-01,65
2013-08-01,37
2013-09-01,31
2013-10-01,25
2013-11-01,45
2013-12-01,39
2014-01-01,26
2014-02-01,22
2014-03-01,44
2014-04-01,45
2014-05-01,24
2014-06-01,24
2014-07-01,32
2014-08-01,54
2014-09-01,39
2014-10-01,23
2014-11-01,21
2014-12-01,21
2015-01-01,35
2015-02-01,36
2015-03-01,30
2015-04-01,20
2015-05-01,24
2015-06-01,36
2015-07-01,45
2015-08-01,27
2015-09-01,28
2015-10-01,19
2015-11-01,40
2015-12-01,48
2016-01-01,40
2016-02-01,21
2016-03-01,28
2016-04-01,29
2016-05-01,43
2016-06-01,40
2016-07-01,28
2016-08-01,26
2016-09-01,37
2016-10-01,55
2016-11-01,34
2016-12-01,25
2017-01-01,32
