date,how to delete facebook page permanently
2011-01-01,66
2011-02-01,50
2011-03-01,36
2011-04-01,29
2011-05-01,9
2011-06-01,56
2011-07-01,51
2011-08-01,48
2011-09-01,76
2011-10-01,36
2011-11-01,36
2011-12-01,28
2012-01-01,37
2012-02-01,46
2012-03-01,54
2012-04-01,38
2012-05-01,21
2012-06-01,36
2012-07-01,82
2012-08-01,81
2012-09-01,59
2012-10-01,48
2012-11-01,48
2012-12-01,58
2013-01-01,80
2013-02-01,61
2013-03-01,71
2013-04-01,70
2013-05-01,54
2013-06-01,76
2013-07-01,80
2013-08-01,51
2013-09-01,70
2013-10-01,58
2013-11-01,56
2013-12-01,51
2014-01-01,71
2014-02-01,52
2014-03-01,49
2014-04-01,54
2014-05-01,39
2014-06-01,38
2014-07-01,100
2014-08-01,42
2014-09-01,62
2014-10-01,33
2014-11-01,55
2014-12-01,64
2015-01-01,46
2015-02-01,36
2015-03-01,59
2015-04-01,90
2015-05-01,75
2015-06-01,77
2015-07-01,76
2015-08-01,73
2015-09-01,69
2015-10-01,39
2015-11-01,42
2015-12-01,73
2016-01-01,56
2016-02-01,32
2016-03-01,66
2016-04-01,52
2016-05-01,42
2016-06-01,66
2016-07-01,89
2016-08-01,63
2016-09-01,67
2016-10-01,41
2016-11-01,51
2016-12-01,95
2017-01-01,93
