date,Delete Facebook page
2011-01-01,41
2011-02-01,43
2011-03-01,39
2011-04-01,41
2011-05-01,39
2011-06-01,41
2011-07-01,45
2011-08-01,50
2011-09-01,55
2011-10-01,51
2011-11-01,53
2011-12-01,54
2012-01-01,55
2012-02-01,53
2012-03-01,57
2012-04-01,51
2012-05-01,51
2012-06-01,73
2012-07-01,90
2012-08-01,98
2012-09-01,99
2012-10-01,86
2012-11-01,84
2012-12-01,86
2013-01-01,95
2013-02-01,94
2013-03-01,100
2013-04-01,83
2013-05-01,67
2013-06-01,71
2013-07-01,78
2013-08-01,73
2013-09-01,67
2013-10-01,63
2013-11-01,67
2013-12-01,67
2014-01-01,74
2014-02-01,72
2014-03-01,76
2014-04-01,75
2014-05-01,76
2014-06-01,75
2014-07-01,85
2014-08-01,71
2014-09-01,66
2014-10-01,60
2014-11-01,53
2014-12-01,56
2015-01-01,59
2015-02-01,58
2015-03-01,56
2015-04-01,57
2015-05-01,64
2015-06-01,59
2015-07-01,60
2015-08-01,58
2015-09-01,61
2015-10-01,55
2015-11-01,51
2015-12-01,52
2016-01-01,61
2016-02-01,63
2016-03-01,65
2016-04-01,66
2016-05-01,67
2016-06-01,75
2016-07-01,80
2016-08-01,72
2016-09-01,73
2016-10-01,69
2016-11-01,70
2016-12-01,73
2017-01-01,80
