date,how to delete facebook account on android
2011-01-01,31
2011-02-01,18
2011-03-01,25
2011-04-01,26
2011-05-01,19
2011-06-01,26
2011-07-01,42
2011-08-01,42
2011-09-01,27
2011-10-01,22
2011-11-01,37
2011-12-01,54
2012-01-01,57
2012-02-01,35
2012-03-01,59
2012-04-01,34
2012-05-01,32
2012-06-01,26
2012-07-01,45
2012-08-01,64
2012-09-01,32
2012-10-01,32
2012-11-01,41
2012-12-01,44
2013-01-01,27
2013-02-01,47
2013-03-01,39
2013-04-01,29
2013-05-01,34
2013-06-01,43
2013-07-01,47
2013-08-01,42
2013-09-01,18
2013-10-01,31
2013-11-01,29
2013-12-01,32
2014-01-01,48
2014-02-01,58
2014-03-01,38
2014-04-01,37
2014-05-01,38
2014-06-01,44
2014-07-01,27
2014-08-01,61
2014-09-01,49
2014-10-01,35
2014-11-01,55
2014-12-01,63
2015-01-01,57
2015-02-01,25
2015-03-01,37
2015-04-01,33
2015-05-01,43
2015-06-01,37
2015-07-01,59
2015-08-01,79
2015-09-01,76
2015-10-01,52
2015-11-01,57
2015-12-01,41
2016-01-01,55
2016-02-01,43
2016-03-01,46
2016-04-01,60
2016-05-01,59
2016-06-01,81
2016-07-01,84
2016-08-01,56
2016-09-01,91
2016-10-01,84
2016-11-01,94
2016-12-01,81
2017-01-01,100
