date,facebook account delete option
2011-01-01,58
2011-02-01,25
2011-03-01,44
2011-04-01,24
2011-05-01,44
2011-06-01,34
2011-07-01,79
2011-08-01,28
2011-09-01,90
2011-10-01,72
2011-11-01,86
2011-12-01,78
2012-01-01,84
2012-02-01,37
2012-03-01,59
2012-04-01,27
2012-05-01,17
2012-06-01,47
2012-07-01,35
2012-08-01,58
2012-09-01,40
2012-10-01,26
2012-11-01,53
2012-12-01,39
2013-01-01,43
2013-02-01,42
2013-03-01,56
2013-04-01,48
2013-05-01,19
2013-06-01,53
2013-07-01,49
2013-08-01,28
2013-09-01,32
2013-10-01,34
2013-11-01,48
2013-12-01,33
2014-01-01,25
2014-02-01,27
2014-03-01,32
2014-04-01,50
2014-05-01,59
2014-06-01,66
2014-07-01,55
2014-08-01,37
2014-09-01,22
2014-10-01,12
2014-11-01,30
2014-12-01,25
2015-01-01,39
2015-02-01,64
2015-03-01,50
2015-04-01,36
2015-05-01,42
2015-06-01,35
2015-07-01,70
2015-08-01,58
2015-09-01,38
2015-10-01,43
2015-11-01,29
2015-12-01,48
2016-01-01,39
2016-02-01,42
2016-03-01,52
2016-04-01,51
2016-05-01,42
2016-06-01,54
2016-07-01,86
2016-08-01,100
2016-09-01,89
2016-10-01,82
2016-11-01,60
2016-12-01,51
2017-01-01,48
