date,how do you delete a facebook account permanently
2011-01-01,29
2011-02-01,51
2011-03-01,86
2011-04-01,53
2011-05-01,37
2011-06-01,51
2011-07-01,28
2011-08-01,36
2011-09-01,23
2011-10-01,38
2011-11-01,49
2011-12-01,57
2012-01-01,35
2012-02-01,72
2012-03-01,34
2012-04-01,41
2012-05-01,64
2012-06-01,88
2012-07-01,73
2012-08-01,29
2012-09-01,100
2012-10-01,39
2012-11-01,26
2012-12-01,83
2013-01-01,44
2013-02-01,33
2013-03-01,54
2013-04-01,24
2013-05-01,12
2013-06-01,12
2013-07-01,54
2013-08-01,23
2013-09-01,34
2013-10-01,38
2013-11-01,37
2013-12-01,37
2014-01-01,46
2014-02-01,22
2014-03-01,20
2014-04-01,21
2014-05-01,53
2014-06-01,27
2014-07-01,68
2014-08-01,27
2014-09-01,22
2014-10-01,10
2014-11-01,32
2014-12-01,35
2015-01-01,33
2015-02-01,60
2015-03-01,55
2015-04-01,23
2015-05-01,19
2015-06-01,26
2015-07-01,58
2015-08-01,32
2015-09-01,9
2015-10-01,30
2015-11-01,24
2015-12-01,40
2016-01-01,61
2016-02-01,26
2016-03-01,22
2016-04-01,36
2016-05-01,49
2016-06-01,34
2016-07-01,31
2016-08-01,47
2016-09-01,41
2016-10-01,74
2016-11-01,50
2016-12-01,24
2017-01-01,42
