date,how do i delete my facebook account
2011-01-01,55
2011-02-01,46
2011-03-01,43
2011-04-01,44
2011-05-01,49
2011-06-01,54
2011-07-01,59
2011-08-01,77
2011-09-01,85
2011-10-01,77
2011-11-01,82
2011-12-01,91
2012-01-01,100
2012-02-01,90
2012-03-01,82
2012-04-01,60
2012-05-01,56
2012-06-01,49
2012-07-01,37
2012-08-01,35
2012-09-01,44
2012-10-01,57
2012-11-01,46
2012-12-01,33
2013-01-01,32
2013-02-01,53
2013-03-01,49
2013-04-01,30
2013-05-01,28
2013-06-01,24
2013-07-01,48
2013-08-01,46
2013-09-01,25
2013-10-01,19
2013-11-01,33
2013-12-01,45
2014-01-01,40
2014-02-01,23
2014-03-01,22
2014-04-01,32
2014-05-01,40
2014-06-01,33
2014-07-01,26
2014-08-01,32
2014-09-01,38
2014-10-01,30
2014-11-01,25
2014-12-01,28
2015-01-01,32
2015-02-01,32
2015-03-01,32
2015-04-01,23
2015-05-01,24
2015-06-01,27
2015-07-01,33
2015-08-01,37
2015-09-01,29
2015-10-01,23
2015-11-01,27
2015-12-01,28
2016-01-01,33
2016-02-01,30
2016-03-01,24
2016-04-01,21
2016-05-01,24
2016-06-01,40
2016-07-01,34
2016-08-01,26
2016-09-01,26
2016-10-01,29
2016-11-01,42
2016-12-01,28
2017-01-01,26
