date,how do i reactivate my facebook account
2011-01-01,79
2011-02-01,100
2011-03-01,64
2011-04-01,73
2011-05-01,64
2011-06-01,77
2011-07-01,57
2011-08-01,50
2011-09-01,53
2011-10-01,90
2011-11-01,67
2011-12-01,72
2012-01-01,76
2012-02-01,85
2012-03-01,62
2012-04-01,69
2012-05-01,78
2012-06-01,72
2012-07-01,80
2012-08-01,61
2012-09-01,64
2012-10-01,48
2012-11-01,51
2012-12-01,69
2013-01-01,51
2013-02-01,51
2013-03-01,47
2013-04-01,63
2013-05-01,42
2013-06-01,53
2013-07-01,36
2013-08-01,68
2013-09-01,49
2013-10-01,39
2013-11-01,20
2013-12-01,43
2014-01-01,25
2014-02-01,41
2014-03-01,41
2014-04-01,38
2014-05-01,30
2014-06-01,26
2014-07-01,53
2014-08-01,70
2014-09-01,36
2014-10-01,49
2014-11-01,41
2014-12-01,40
2015-01-01,36
2015-02-01,24
2015-03-01,45
2015-04-01,34
2015-05-01,47
2015-06-01,38
2015-07-01,31
2015-08-01,55
2015-09-01,56
2015-10-01,31
2015-11-01,37
2015-12-01,42
2016-01-01,43
2016-02-01,44
2016-03-01,40
2016-04-01,31
2016-05-01,50
2016-06-01,53
2016-07-01,47
2016-08-01,47
2016-09-01,32
2016-10-01,56
2016-11-01,48
2016-12-01,50
2017-01-01,67
