date,google account sign in,how to change facebook privacy settings
2011-01-01,8,1
2011-02-01,9,1
2011-03-01,10,1
2011-04-01,12,1
2011-05-01,10,1
2011-06-01,15,1
2011-07-01,21,1
2011-08-01,22,1
2011-09-01,18,3
2011-10-01,16,2
2011-11-01,25,2
2011-12-01,19,2
2012-01-01,15,2
2012-02-01,15,2
2012-03-01,20,2
2012-04-01,23,2
2012-05-01,14,2
2012-06-01,17,2
2012-07-01,25,2
2012-08-01,28,3
2012-09-01,21,4
2012-10-01,20,4
2012-11-01,25,3
2012-12-01,35,3
2013-01-01,28,2
2013-02-01,26,2
2013-03-01,28,2
2013-04-01,38,2
2013-05-01,33,2
2013-06-01,26,2
2013-07-01,30,2
2013-08-01,46,2
2013-09-01,39,2
2013-10-01,31,2
2013-11-01,34,2
2013-12-01,56,2
2014-01-01,53,2
2014-02-01,39,1
2014-03-01,38,1
2014-04-01,46,2
2014-05-01,50,2
2014-06-01,40,2
2014-07-01,42,1
2014-08-01,50,2
2014-09-01,56,1
2014-10-01,53,2
2014-11-01,43,1
2014-12-01,45,1
2015-01-01,58,1
2015-02-01,58,1
2015-03-01,56,1
2015-04-01,43,1
2015-05-01,53,1
2015-06-01,68,1
2015-07-01,69,1
2015-08-01,49,2
2015-09-01,55,1
2015-10-01,59,1
2015-11-01,74,1
2015-12-01,73,1
2016-01-01,64,1
2016-02-01,59,1
2016-03-01,58,1
2016-04-01,68,1
2016-05-01,78,1
2016-06-01,68,1
2016-07-01,75,1
2016-08-01,95,1
2016-09-01,85,1
2016-10-01,100,1
2016-11-01,82,1
2016-12-01,75,1
2017-01-01,83,1
