date,facebook friends list order,how to change facebook privacy settings
2011-01-01,21,9
2011-02-01,29,5
2011-03-01,35,9
2011-04-01,48,6
2011-05-01,53,7
2011-06-01,63,9
2011-07-01,57,8
2011-08-01,69,12
2011-09-01,75,25
2011-10-01,42,23
2011-11-01,31,20
2011-12-01,32,17
2012-01-01,33,16
2012-02-01,23,21
2012-03-01,18,17
2012-04-01,28,21
2012-05-01,26,20
2012-06-01,27,18
2012-07-01,20,17
2012-08-01,16,31
2012-09-01,17,41
2012-10-01,13,37
2012-11-01,16,27
2012-12-01,100,27
2013-01-01,18,22
2013-02-01,14,21
2013-03-01,14,21
2013-04-01,17,17
2013-05-01,21,18
2013-06-01,22,21
2013-07-01,25,21
2013-08-01,22,19
2013-09-01,18,20
2013-10-01,24,20
2013-11-01,22,16
2013-12-01,21,16
2014-01-01,20,17
2014-02-01,20,12
2014-03-01,24,14
2014-04-01,25,16
2014-05-01,21,15
2014-06-01,23,15
2014-07-01,34,13
2014-08-01,30,19
2014-09-01,28,13
2014-10-01,27,15
2014-11-01,24,12
2014-12-01,27,11
2015-01-01,24,14
2015-02-01,24,12
2015-03-01,23,12
2015-04-01,25,13
2015-05-01,20,14
2015-06-01,20,14
2015-07-01,20,14
2015-08-01,20,15
2015-09-01,18,12
2015-10-01,13,10
2015-11-01,16,13
2015-12-01,13,13
2016-01-01,14,14
2016-02-01,14,12
2016-03-01,13,11
2016-04-01,11,10
2016-05-01,9,11
2016-06-01,10,12
2016-07-01,12,14
2016-08-01,12,14
2016-09-01,9,12
2016-10-01,10,11
2016-11-01,13,11
2016-12-01,10,10
2017-01-01,13,12
