date,facebook tagged photos privacy,how to change facebook privacy settings
2011-01-01,7,21
2011-02-01,4,12
2011-03-01,7,22
2011-04-01,4,14
2011-05-01,4,17
2011-06-01,5,22
2011-07-01,5,20
2011-08-01,12,29
2011-09-01,32,60
2011-10-01,42,55
2011-11-01,34,48
2011-12-01,30,42
2012-01-01,28,39
2012-02-01,25,51
2012-03-01,23,41
2012-04-01,27,51
2012-05-01,31,48
2012-06-01,25,44
2012-07-01,24,41
2012-08-01,22,75
2012-09-01,25,100
2012-10-01,15,90
2012-11-01,10,66
2012-12-01,18,64
2013-01-01,15,54
2013-02-01,11,50
2013-03-01,6,49
2013-04-01,13,42
2013-05-01,9,44
2013-06-01,8,50
2013-07-01,12,51
2013-08-01,12,45
2013-09-01,12,47
2013-10-01,8,48
2013-11-01,6,38
2013-12-01,7,39
2014-01-01,8,40
2014-02-01,4,28
2014-03-01,5,33
2014-04-01,8,38
2014-05-01,5,36
2014-06-01,4,37
2014-07-01,6,32
2014-08-01,8,47
2014-09-01,7,32
2014-10-01,7,36
2014-11-01,5,28
2014-12-01,5,27
2015-01-01,7,34
2015-02-01,5,29
2015-03-01,5,29
2015-04-01,8,32
2015-05-01,5,33
2015-06-01,7,34
2015-07-01,8,34
2015-08-01,7,36
2015-09-01,4,29
2015-10-01,5,24
2015-11-01,6,31
2015-12-01,5,32
2016-01-01,4,33
2016-02-01,5,29
2016-03-01,4,27
2016-04-01,6,25
2016-05-01,6,26
2016-06-01,4,30
2016-07-01,6,35
2016-08-01,4,33
2016-09-01,4,28
2016-10-01,6,28
2016-11-01,4,26
2016-12-01,3,25
2017-01-01,4,29
