date,how to delete friends list on facebook,how to change facebook privacy settings
2011-01-01,16,21
2011-02-01,14,12
2011-03-01,13,22
2011-04-01,15,14
2011-05-01,24,17
2011-06-01,21,22
2011-07-01,17,20
2011-08-01,26,29
2011-09-01,27,60
2011-10-01,21,55
2011-11-01,20,48
2011-12-01,21,42
2012-01-01,22,39
2012-02-01,17,51
2012-03-01,23,41
2012-04-01,24,51
2012-05-01,25,48
2012-06-01,28,44
2012-07-01,31,41
2012-08-01,32,75
2012-09-01,33,100
2012-10-01,20,90
2012-11-01,17,66
2012-12-01,11,64
2013-01-01,15,54
2013-02-01,18,50
2013-03-01,18,49
2013-04-01,15,42
2013-05-01,13,44
2013-06-01,9,50
2013-07-01,13,51
2013-08-01,10,45
2013-09-01,9,47
2013-10-01,8,48
2013-11-01,8,38
2013-12-01,8,39
2014-01-01,16,40
2014-02-01,10,28
2014-03-01,16,33
2014-04-01,20,38
2014-05-01,12,36
2014-06-01,12,37
2014-07-01,12,32
2014-08-01,14,47
2014-09-01,11,32
2014-10-01,10,36
2014-11-01,8,28
2014-12-01,8,27
2015-01-01,9,34
2015-02-01,10,29
2015-03-01,8,29
2015-04-01,10,32
2015-05-01,12,33
2015-06-01,8,34
2015-07-01,12,34
2015-08-01,11,36
2015-09-01,9,29
2015-10-01,8,24
2015-11-01,7,31
2015-12-01,10,32
2016-01-01,10,33
2016-02-01,9,29
2016-03-01,7,27
2016-04-01,7,25
2016-05-01,9,26
2016-06-01,7,30
2016-07-01,11,35
2016-08-01,11,33
2016-09-01,11,28
2016-10-01,10,28
2016-11-01,11,26
2016-12-01,9,25
2017-01-01,14,29
