date,how to block tagged photos on facebook,how to change facebook privacy settings
2011-01-01,5,21
2011-02-01,2,14
2011-03-01,5,24
2011-04-01,2,15
2011-05-01,4,13
2011-06-01,2,23
2011-07-01,8,20
2011-08-01,6,32
2011-09-01,27,63
2011-10-01,33,47
2011-11-01,27,41
2011-12-01,26,39
2012-01-01,27,37
2012-02-01,18,52
2012-03-01,25,42
2012-04-01,21,44
2012-05-01,14,51
2012-06-01,16,43
2012-07-01,28,30
2012-08-01,31,81
2012-09-01,21,100
2012-10-01,10,95
2012-11-01,8,65
2012-12-01,12,66
2013-01-01,11,59
2013-02-01,14,49
2013-03-01,10,53
2013-04-01,8,41
2013-05-01,13,40
2013-06-01,7,49
2013-07-01,6,48
2013-08-01,7,49
2013-09-01,5,47
2013-10-01,4,48
2013-11-01,6,35
2013-12-01,6,37
2014-01-01,7,43
2014-02-01,4,27
2014-03-01,4,34
2014-04-01,6,36
2014-05-01,5,35
2014-06-01,2,36
2014-07-01,7,29
2014-08-01,7,45
2014-09-01,9,31
2014-10-01,2,37
2014-11-01,2,27
2014-12-01,3,25
2015-01-01,4,34
2015-02-01,4,32
2015-03-01,3,31
2015-04-01,4,34
2015-05-01,2,32
2015-06-01,3,31
2015-07-01,3,35
2015-08-01,4,39
2015-09-01,3,31
2015-10-01,2,22
2015-11-01,2,28
2015-12-01,2,33
2016-01-01,3,32
2016-02-01,2,25
2016-03-01,2,26
2016-04-01,4,25
2016-05-01,4,27
2016-06-01,4,26
2016-07-01,3,38
2016-08-01,2,34
2016-09-01,4,28
2016-10-01,2,30
2016-11-01,3,25
2016-12-01,2,24
2017-01-01,3,31
