date,facebook setting for mobile,how to change facebook privacy settings
2011-01-01,7,21
2011-02-01,14,14
2011-03-01,11,24
2011-04-01,14,13
2011-05-01,9,18
2011-06-01,12,20
2011-07-01,22,20
2011-08-01,25,24
2011-09-01,16,66
2011-10-01,17,62
2011-11-01,15,50
2011-12-01,9,44
2012-01-01,17,38
2012-02-01,15,55
2012-03-01,14,47
2012-04-01,11,59
2012-05-01,5,46
2012-06-01,9,42
2012-07-01,12,52
2012-08-01,13,75
2012-09-01,9,100
2012-10-01,8,88
2012-11-01,11,72
2012-12-01,10,70
2013-01-01,10,50
2013-02-01,13,53
2013-03-01,11,51
2013-04-01,15,45
2013-05-01,9,43
2013-06-01,11,53
2013-07-01,13,54
2013-08-01,10,44
2013-09-01,7,49
2013-10-01,12,44
2013-11-01,15,41
2013-12-01,5,44
2014-01-01,8,36
2014-02-01,8,28
2014-03-01,8,33
2014-04-01,7,42
2014-05-01,7,38
2014-06-01,6,40
2014-07-01,11,35
2014-08-01,6,49
2014-09-01,8,32
2014-10-01,6,40
2014-11-01,9,30
2014-12-01,11,30
2015-01-01,8,34
2015-02-01,7,28
2015-03-01,4,28
2015-04-01,7,33
2015-05-01,5,35
2015-06-01,4,36
2015-07-01,5,33
2015-08-01,6,37
2015-09-01,6,30
2015-10-01,6,28
2015-11-01,4,35
2015-12-01,6,31
2016-01-01,6,37
2016-02-01,2,31
2016-03-01,4,26
2016-04-01,4,25
2016-05-01,6,27
2016-06-01,5,30
2016-07-01,3,37
2016-08-01,7,36
2016-09-01,6,31
2016-10-01,5,26
2016-11-01,1,29
2016-12-01,8,30
2017-01-01,5,33
