date,internet privacy software,how to change facebook privacy settings
2011-01-01,9,21
2011-02-01,21,12
2011-03-01,19,22
2011-04-01,13,14
2011-05-01,16,17
2011-06-01,17,22
2011-07-01,7,20
2011-08-01,12,29
2011-09-01,12,60
2011-10-01,12,55
2011-11-01,12,48
2011-12-01,15,42
2012-01-01,10,39
2012-02-01,11,51
2012-03-01,15,41
2012-04-01,16,51
2012-05-01,11,48
2012-06-01,9,44
2012-07-01,13,41
2012-08-01,11,75
2012-09-01,10,100
2012-10-01,7,90
2012-11-01,12,66
2012-12-01,7,64
2013-01-01,8,54
2013-02-01,13,50
2013-03-01,9,49
2013-04-01,16,42
2013-05-01,14,44
2013-06-01,9,50
2013-07-01,7,51
2013-08-01,7,45
2013-09-01,8,47
2013-10-01,10,48
2013-11-01,14,38
2013-12-01,10,39
2014-01-01,9,40
2014-02-01,11,28
2014-03-01,13,33
2014-04-01,9,38
2014-05-01,10,36
2014-06-01,8,37
2014-07-01,6,32
2014-08-01,8,47
2014-09-01,11,32
2014-10-01,8,36
2014-11-01,9,28
2014-12-01,7,27
2015-01-01,4,34
2015-02-01,11,29
2015-03-01,7,29
2015-04-01,7,32
2015-05-01,5,33
2015-06-01,7,34
2015-07-01,8,34
2015-08-01,5,36
2015-09-01,6,29
2015-10-01,7,24
2015-11-01,4,31
2015-12-01,7,32
2016-01-01,7,33
2016-02-01,9,29
2016-03-01,4,27
2016-04-01,5,25
2016-05-01,7,26
2016-06-01,7,30
2016-07-01,5,35
2016-08-01,3,33
2016-09-01,5,28
2016-10-01,7,28
2016-11-01,6,26
2016-12-01,6,25
2017-01-01,6,29
