date,facebook friends list on profile,how to change facebook privacy settings
2011-01-01,50,15
2011-02-01,39,9
2011-03-01,44,15
2011-04-01,59,10
2011-05-01,84,12
2011-06-01,89,15
2011-07-01,77,15
2011-08-01,100,21
2011-09-01,78,43
2011-10-01,63,39
2011-11-01,53,34
2011-12-01,60,30
2012-01-01,43,28
2012-02-01,31,37
2012-03-01,33,30
2012-04-01,30,36
2012-05-01,27,34
2012-06-01,35,31
2012-07-01,28,29
2012-08-01,30,53
2012-09-01,29,71
2012-10-01,25,64
2012-11-01,20,47
2012-12-01,26,46
2013-01-01,21,38
2013-02-01,16,35
2013-03-01,20,35
2013-04-01,23,30
2013-05-01,17,31
2013-06-01,21,35
2013-07-01,22,36
2013-08-01,20,32
2013-09-01,21,34
2013-10-01,18,34
2013-11-01,18,27
2013-12-01,13,28
2014-01-01,19,29
2014-02-01,15,20
2014-03-01,15,24
2014-04-01,17,27
2014-05-01,17,26
2014-06-01,19,27
2014-07-01,17,23
2014-08-01,17,33
2014-09-01,16,23
2014-10-01,13,26
2014-11-01,17,20
2014-12-01,17,19
2015-01-01,15,24
2015-02-01,13,21
2015-03-01,18,21
2015-04-01,16,23
2015-05-01,15,24
2015-06-01,15,24
2015-07-01,16,25
2015-08-01,16,26
2015-09-01,12,21
2015-10-01,13,17
2015-11-01,18,22
2015-12-01,14,23
2016-01-01,15,24
2016-02-01,14,21
2016-03-01,15,19
2016-04-01,13,18
2016-05-01,16,19
2016-06-01,18,21
2016-07-01,15,25
2016-08-01,15,24
2016-09-01,17,20
2016-10-01,15,20
2016-11-01,19,19
2016-12-01,18,18
2017-01-01,22,21
