date,change facebook settings,how to change facebook privacy settings
2011-01-01,43,5
2011-02-01,49,3
2011-03-01,45,5
2011-04-01,39,3
2011-05-01,47,4
2011-06-01,55,5
2011-07-01,100,5
2011-08-01,65,7
2011-09-01,89,15
2011-10-01,71,13
2011-11-01,65,12
2011-12-01,74,10
2012-01-01,69,9
2012-02-01,67,12
2012-03-01,64,10
2012-04-01,57,12
2012-05-01,61,12
2012-06-01,63,11
2012-07-01,67,10
2012-08-01,78,18
2012-09-01,87,24
2012-10-01,90,22
2012-11-01,72,16
2012-12-01,78,15
2013-01-01,77,13
2013-02-01,65,12
2013-03-01,64,12
2013-04-01,65,10
2013-05-01,59,10
2013-06-01,62,12
2013-07-01,66,12
2013-08-01,64,11
2013-09-01,59,11
2013-10-01,59,11
2013-11-01,55,9
2013-12-01,54,9
2014-01-01,56,10
2014-02-01,51,7
2014-03-01,50,8
2014-04-01,61,9
2014-05-01,59,9
2014-06-01,55,9
2014-07-01,55,8
2014-08-01,58,11
2014-09-01,59,8
2014-10-01,50,9
2014-11-01,49,7
2014-12-01,50,6
2015-01-01,56,8
2015-02-01,49,7
2015-03-01,46,7
2015-04-01,45,8
2015-05-01,48,8
2015-06-01,49,8
2015-07-01,49,8
2015-08-01,52,9
2015-09-01,51,7
2015-10-01,47,6
2015-11-01,48,8
2015-12-01,51,8
2016-01-01,51,8
2016-02-01,49,7
2016-03-01,53,6
2016-04-01,70,6
2016-05-01,62,6
2016-06-01,59,7
2016-07-01,61,8
2016-08-01,52,8
2016-09-01,52,7
2016-10-01,47,7
2016-11-01,46,6
2016-12-01,47,6
2017-01-01,51,7
