date,facebook view tracker,how to change facebook privacy settings
2011-01-01,42,19
2011-02-01,34,11
2011-03-01,27,20
2011-04-01,24,13
2011-05-01,34,15
2011-06-01,15,20
2011-07-01,12,19
2011-08-01,19,26
2011-09-01,27,55
2011-10-01,6,50
2011-11-01,4,44
2011-12-01,7,39
2012-01-01,5,36
2012-02-01,10,47
2012-03-01,7,38
2012-04-01,4,47
2012-05-01,6,44
2012-06-01,2,40
2012-07-01,9,37
2012-08-01,7,69
2012-09-01,7,92
2012-10-01,4,82
2012-11-01,6,61
2012-12-01,9,59
2013-01-01,4,50
2013-02-01,100,46
2013-03-01,50,45
2013-04-01,35,38
2013-05-01,47,40
2013-06-01,35,46
2013-07-01,16,47
2013-08-01,13,41
2013-09-01,14,43
2013-10-01,14,44
2013-11-01,17,35
2013-12-01,14,36
2014-01-01,9,37
2014-02-01,8,26
2014-03-01,16,31
2014-04-01,13,35
2014-05-01,11,33
2014-06-01,13,34
2014-07-01,11,29
2014-08-01,11,43
2014-09-01,11,29
2014-10-01,12,33
2014-11-01,11,26
2014-12-01,8,25
2015-01-01,10,31
2015-02-01,9,26
2015-03-01,11,27
2015-04-01,8,30
2015-05-01,9,31
2015-06-01,8,31
2015-07-01,11,32
2015-08-01,11,33
2015-09-01,12,27
2015-10-01,9,22
2015-11-01,4,29
2015-12-01,4,30
2016-01-01,4,31
2016-02-01,8,27
2016-03-01,8,25
2016-04-01,7,23
2016-05-01,6,24
2016-06-01,7,28
2016-07-01,4,32
2016-08-01,6,30
2016-09-01,4,26
2016-10-01,7,25
2016-11-01,7,24
2016-12-01,5,23
2017-01-01,6,27
