date,reset facebook settings,how to change facebook privacy settings
2011-01-01,40,21
2011-02-01,29,12
2011-03-01,30,22
2011-04-01,24,14
2011-05-01,30,17
2011-06-01,34,22
2011-07-01,36,20
2011-08-01,35,29
2011-09-01,39,60
2011-10-01,50,55
2011-11-01,42,48
2011-12-01,36,42
2012-01-01,37,39
2012-02-01,45,51
2012-03-01,43,41
2012-04-01,32,51
2012-05-01,43,48
2012-06-01,39,44
2012-07-01,39,41
2012-08-01,40,75
2012-09-01,40,100
2012-10-01,37,90
2012-11-01,44,66
2012-12-01,55,64
2013-01-01,43,54
2013-02-01,45,50
2013-03-01,38,49
2013-04-01,45,42
2013-05-01,40,44
2013-06-01,42,50
2013-07-01,51,51
2013-08-01,43,45
2013-09-01,46,47
2013-10-01,36,48
2013-11-01,46,38
2013-12-01,49,39
2014-01-01,41,40
2014-02-01,54,28
2014-03-01,37,33
2014-04-01,45,38
2014-05-01,39,36
2014-06-01,34,37
2014-07-01,45,32
2014-08-01,47,47
2014-09-01,36,32
2014-10-01,39,36
2014-11-01,43,28
2014-12-01,43,27
2015-01-01,41,34
2015-02-01,44,29
2015-03-01,29,29
2015-04-01,36,32
2015-05-01,37,33
2015-06-01,34,34
2015-07-01,41,34
2015-08-01,44,36
2015-09-01,45,29
2015-10-01,37,24
2015-11-01,35,31
2015-12-01,45,32
2016-01-01,35,33
2016-02-01,35,29
2016-03-01,31,27
2016-04-01,30,25
2016-05-01,32,26
2016-06-01,32,30
2016-07-01,39,35
2016-08-01,34,33
2016-09-01,35,28
2016-10-01,33,28
2016-11-01,38,26
2016-12-01,43,25
2017-01-01,34,29
