date,facebook app java,how to change facebook privacy settings
2011-01-01,16,6
2011-02-01,15,3
2011-03-01,16,6
2011-04-01,18,4
2011-05-01,18,5
2011-06-01,20,6
2011-07-01,32,5
2011-08-01,27,8
2011-09-01,29,16
2011-10-01,29,15
2011-11-01,29,13
2011-12-01,29,11
2012-01-01,30,10
2012-02-01,28,14
2012-03-01,26,11
2012-04-01,28,14
2012-05-01,32,13
2012-06-01,35,12
2012-07-01,34,11
2012-08-01,38,20
2012-09-01,35,27
2012-10-01,37,24
2012-11-01,35,18
2012-12-01,43,17
2013-01-01,42,15
2013-02-01,48,13
2013-03-01,51,13
2013-04-01,59,11
2013-05-01,58,12
2013-06-01,59,13
2013-07-01,67,14
2013-08-01,69,12
2013-09-01,69,13
2013-10-01,63,13
2013-11-01,66,10
2013-12-01,70,11
2014-01-01,70,11
2014-02-01,69,8
2014-03-01,75,9
2014-04-01,83,10
2014-05-01,83,10
2014-06-01,100,10
2014-07-01,93,9
2014-08-01,90,13
2014-09-01,86,9
2014-10-01,92,10
2014-11-01,77,8
2014-12-01,82,7
2015-01-01,86,9
2015-02-01,80,8
2015-03-01,91,8
2015-04-01,91,9
2015-05-01,83,9
2015-06-01,87,9
2015-07-01,99,9
2015-08-01,97,10
2015-09-01,92,8
2015-10-01,85,7
2015-11-01,92,8
2015-12-01,85,9
2016-01-01,74,9
2016-02-01,65,8
2016-03-01,72,7
2016-04-01,68,7
2016-05-01,71,7
2016-06-01,72,8
2016-07-01,68,9
2016-08-01,65,9
2016-09-01,65,8
2016-10-01,63,7
2016-11-01,59,7
2016-12-01,61,7
2017-01-01,60,8
