date,personal privacy definition,how to change facebook privacy settings
2011-01-01,7,21
2011-02-01,3,12
2011-03-01,7,22
2011-04-01,8,14
2011-05-01,8,17
2011-06-01,6,22
2011-07-01,8,20
2011-08-01,4,29
2011-09-01,2,60
2011-10-01,8,55
2011-11-01,8,48
2011-12-01,4,42
2012-01-01,7,39
2012-02-01,8,51
2012-03-01,7,41
2012-04-01,6,51
2012-05-01,8,48
2012-06-01,8,44
2012-07-01,8,41
2012-08-01,7,75
2012-09-01,6,100
2012-10-01,6,90
2012-11-01,6,66
2012-12-01,7,64
2013-01-01,7,54
2013-02-01,5,50
2013-03-01,9,49
2013-04-01,7,42
2013-05-01,10,44
2013-06-01,6,50
2013-07-01,7,51
2013-08-01,8,45
2013-09-01,5,47
2013-10-01,6,48
2013-11-01,10,38
2013-12-01,5,39
2014-01-01,8,40
2014-02-01,8,28
2014-03-01,7,33
2014-04-01,8,38
2014-05-01,10,36
2014-06-01,4,37
2014-07-01,5,32
2014-08-01,6,47
2014-09-01,12,32
2014-10-01,7,36
2014-11-01,5,28
2014-12-01,11,27
2015-01-01,5,34
2015-02-01,7,29
2015-03-01,8,29
2015-04-01,11,32
2015-05-01,9,33
2015-06-01,8,34
2015-07-01,5,34
2015-08-01,4,36
2015-09-01,12,29
2015-10-01,11,24
2015-11-01,9,31
2015-12-01,8,32
2016-01-01,9,33
2016-02-01,11,29
2016-03-01,9,27
2016-04-01,11,25
2016-05-01,12,26
2016-06-01,7,30
2016-07-01,8,35
2016-08-01,10,33
2016-09-01,10,28
2016-10-01,21,28
2016-11-01,20,26
2016-12-01,10,25
2017-01-01,10,29
