date,how to hide friends on facebook mobile,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,2,12
2011-03-01,6,22
2011-04-01,2,14
2011-05-01,5,17
2011-06-01,2,22
2011-07-01,3,20
2011-08-01,4,29
2011-09-01,5,60
2011-10-01,2,55
2011-11-01,5,48
2011-12-01,4,42
2012-01-01,5,39
2012-02-01,4,51
2012-03-01,4,41
2012-04-01,7,51
2012-05-01,6,48
2012-06-01,4,44
2012-07-01,3,41
2012-08-01,2,75
2012-09-01,6,100
2012-10-01,6,90
2012-11-01,6,66
2012-12-01,7,64
2013-01-01,9,54
2013-02-01,9,50
2013-03-01,7,49
2013-04-01,10,42
2013-05-01,5,44
2013-06-01,12,50
2013-07-01,12,51
2013-08-01,16,45
2013-09-01,10,47
2013-10-01,12,48
2013-11-01,11,38
2013-12-01,15,39
2014-01-01,14,40
2014-02-01,11,28
2014-03-01,11,33
2014-04-01,11,38
2014-05-01,9,36
2014-06-01,11,37
2014-07-01,19,32
2014-08-01,20,47
2014-09-01,7,32
2014-10-01,8,36
2014-11-01,8,28
2014-12-01,8,27
2015-01-01,10,34
2015-02-01,14,29
2015-03-01,14,29
2015-04-01,14,32
2015-05-01,9,33
2015-06-01,13,34
2015-07-01,17,34
2015-08-01,24,36
2015-09-01,23,29
2015-10-01,16,24
2015-11-01,21,31
2015-12-01,22,32
2016-01-01,19,33
2016-02-01,25,29
2016-03-01,22,27
2016-04-01,21,25
2016-05-01,31,26
2016-06-01,34,30
2016-07-01,33,35
2016-08-01,28,33
2016-09-01,28,28
2016-10-01,30,28
2016-11-01,33,26
2016-12-01,43,25
2017-01-01,50,29
