date,facebook search by phone number,how to change facebook privacy settings
2011-01-01,39,21
2011-02-01,36,12
2011-03-01,37,22
2011-04-01,36,14
2011-05-01,31,17
2011-06-01,47,22
2011-07-01,38,20
2011-08-01,47,29
2011-09-01,51,60
2011-10-01,44,55
2011-11-01,45,48
2011-12-01,52,42
2012-01-01,59,39
2012-02-01,48,51
2012-03-01,39,41
2012-04-01,58,51
2012-05-01,60,48
2012-06-01,56,44
2012-07-01,48,41
2012-08-01,47,75
2012-09-01,47,100
2012-10-01,52,90
2012-11-01,46,66
2012-12-01,67,64
2013-01-01,57,54
2013-02-01,44,50
2013-03-01,43,49
2013-04-01,61,42
2013-05-01,52,44
2013-06-01,66,50
2013-07-01,59,51
2013-08-01,63,45
2013-09-01,56,47
2013-10-01,42,48
2013-11-01,50,38
2013-12-01,49,39
2014-01-01,47,40
2014-02-01,58,28
2014-03-01,51,33
2014-04-01,46,38
2014-05-01,52,36
2014-06-01,54,37
2014-07-01,61,32
2014-08-01,52,47
2014-09-01,51,32
2014-10-01,68,36
2014-11-01,58,28
2014-12-01,74,27
2015-01-01,65,34
2015-02-01,71,29
2015-03-01,60,29
2015-04-01,53,32
2015-05-01,50,33
2015-06-01,59,34
2015-07-01,60,34
2015-08-01,53,36
2015-09-01,72,29
2015-10-01,65,24
2015-11-01,67,31
2015-12-01,64,32
2016-01-01,65,33
2016-02-01,69,29
2016-03-01,65,27
2016-04-01,75,25
2016-05-01,78,26
2016-06-01,65,30
2016-07-01,58,35
2016-08-01,72,33
2016-09-01,62,28
2016-10-01,70,28
2016-11-01,78,26
2016-12-01,87,25
2017-01-01,73,29
