date,how to hide friends list in facebook,how to change facebook privacy settings
2011-01-01,20,21
2011-02-01,24,12
2011-03-01,23,22
2011-04-01,26,14
2011-05-01,27,17
2011-06-01,50,22
2011-07-01,44,20
2011-08-01,48,29
2011-09-01,74,60
2011-10-01,44,55
2011-11-01,32,48
2011-12-01,43,42
2012-01-01,44,39
2012-02-01,29,51
2012-03-01,41,41
2012-04-01,27,51
2012-05-01,32,48
2012-06-01,32,44
2012-07-01,25,41
2012-08-01,44,75
2012-09-01,39,100
2012-10-01,26,90
2012-11-01,27,66
2012-12-01,39,64
2013-01-01,32,54
2013-02-01,32,50
2013-03-01,33,49
2013-04-01,29,42
2013-05-01,30,44
2013-06-01,28,50
2013-07-01,26,51
2013-08-01,31,45
2013-09-01,32,47
2013-10-01,17,48
2013-11-01,16,38
2013-12-01,24,39
2014-01-01,27,40
2014-02-01,23,28
2014-03-01,15,33
2014-04-01,25,38
2014-05-01,31,36
2014-06-01,30,37
2014-07-01,21,32
2014-08-01,27,47
2014-09-01,28,32
2014-10-01,30,36
2014-11-01,17,28
2014-12-01,20,27
2015-01-01,19,34
2015-02-01,18,29
2015-03-01,21,29
2015-04-01,24,32
2015-05-01,28,33
2015-06-01,20,34
2015-07-01,21,34
2015-08-01,25,36
2015-09-01,32,29
2015-10-01,26,24
2015-11-01,21,31
2015-12-01,21,32
2016-01-01,29,33
2016-02-01,36,29
2016-03-01,34,27
2016-04-01,37,25
2016-05-01,30,26
2016-06-01,45,30
2016-07-01,45,35
2016-08-01,39,33
2016-09-01,31,28
2016-10-01,33,28
2016-11-01,42,26
2016-12-01,41,25
2017-01-01,38,29
